orf_id,ortho_cluster_id,ortho_cluster_members,i_val,mmseqs_cluster_representative,mmseqs_cluster_id
GCA_016721185_01978,11,GCA_016721185_01978,4.0,GCA_016721185_01978,29
GCA_016721185_01979,12,GCA_016721185_01979,4.0,GCA_016721185_01979,30
GCA_016721185_01980,13,GCA_016721185_01980,4.0,GCA_016721185_01980,31
GCA_016721185_01981,0,GCA_016721185_01981,4.0,GCA_016721185_01981,32
GCA_016721185_01982,1,GCA_016721185_01982,4.0,GCA_016721185_01982,33
GCA_016721185_01983,2,GCA_016721185_01983,4.0,GCA_016721185_01983,34
GCA_016721185_01984,3,GCA_016721185_01984,4.0,GCA_016721185_01984,35
GCA_016721185_01985,84,GCA_016721185_01985,4.0,GCA_016721185_01985,36
GCA_016721185_01986,24,GCA_016721185_01986,4.0,GCA_016721185_01986,37
GCA_016722705_01199,24,GCA_016722705_01199,4.0,GCA_016722705_01199,38
GCA_016722705_01200,84,GCA_016721185_01985,4.0,GCA_016721185_01985,36
GCA_016722705_01201,3,GCA_016722705_01201,4.0,GCA_016722705_01201,39
GCA_016722705_01202,2,GCA_016722705_01202,4.0,GCA_016722705_01202,40
GCA_016722705_01203,1,GCA_016722705_01203,4.0,GCA_016722705_01203,41
GCA_016722705_01204,0,GCA_016722705_01204,4.0,GCA_016722705_01204,42
GCA_016722705_01205,122,GCA_016722705_01205,4.0,GCA_016722705_01205,43
GCA_016722705_01206,126,GCA_016722705_01206,4.0,GCA_016722705_01206,44
GCA_016722705_01207,131,GCA_016722705_01207,4.0,GCA_016722705_01207,45
GCA_016722705_01208,33,GCA_016722705_01208,4.0,GCA_016722705_01208,46
GCA_016722705_01209,166,GCA_016714975_00295,4.0,GCA_016714975_00295,22
GCA_016722705_01210,38,GCA_016722705_01210,4.0,GCA_016722705_01210,47
GCA_016722705_01211,143,GCA_016722705_01211,4.0,GCA_016722705_01211,48
GCA_017592725_00748,149,GCA_017592725_00748,4.0,GCA_017592725_00748,49
GCA_017592725_00749,157,GCA_017592725_00749,4.0,GCA_017592725_00749,50
GCA_017592725_00751,161,GCA_017592725_00751,4.0,GCA_017592725_00751,51
GCA_017592725_00752,3,GCA_017592725_00752,4.0,GCA_017592725_00752,52
GCA_017592725_00753,2,GCA_017592725_00753,4.0,GCA_017592725_00753,53
GCA_017592725_00754,1,GCA_017592725_00754,4.0,GCA_017592725_00754,54
GCA_017592725_00755,0,GCF_005889575_01189,4.0,GCF_005889575_01189,266
GCA_017592725_00756,4,GCF_005889575_01188,4.0,GCF_005889575_01188,265
GCA_017592725_00757,43,GCA_017592725_00757,4.0,GCA_017592725_00757,55
GCA_017592745_03829,18,GCA_017592745_03829,4.0,GCA_017592745_03829,56
GCA_017592745_03830,4,GCA_017592745_03830,4.0,GCA_017592745_03830,57
GCA_017592745_03831,0,GCA_017592745_03831,4.0,GCA_017592745_03831,58
GCA_017592745_03832,1,GCA_017592745_03832,4.0,GCA_017592745_03832,59
GCA_017592745_03833,2,GCA_017592745_03833,4.0,GCA_017592745_03833,60
GCA_017592745_03834,3,GCA_017592745_03834,4.0,GCA_017592745_03834,61
GCA_017592745_03835,5,GCA_017592745_03835,4.0,GCA_017592745_03835,62
GCA_017592745_03836,79,GCA_017592745_03836,4.0,GCA_017592745_03836,63
GCA_017592775_02238,85,GCA_017592775_02238,4.0,GCA_017592775_02238,64
GCA_017592775_02239,5,GCA_017592775_02239,4.0,GCA_017592775_02239,65
GCA_017592775_02240,3,GCA_017592775_02240,4.0,GCA_017592775_02240,66
GCA_017592775_02241,2,GCA_017592775_02241,4.0,GCA_017592775_02241,67
GCA_017592775_02242,1,GCA_017592775_02242,4.0,GCA_017592775_02242,68
GCA_017592775_02243,0,GCA_017592775_02243,4.0,GCA_017592775_02243,69
GCA_017592775_02244,4,GCA_017592775_02244,4.0,GCA_017592775_02244,70
GCA_017592775_02245,18,GCA_017592775_02245,4.0,GCA_017592775_02245,71
GCA_017592785_00842,45,GCA_009467855_02128,4.0,GCA_009467855_02128,0
GCA_017592785_00843,4,GCA_017592785_00843,4.0,GCA_017592785_00843,72
GCA_017592785_00844,0,GCA_017592785_00844,4.0,GCA_017592785_00844,73
GCA_017592785_00845,1,GCA_017592785_00845,4.0,GCA_017592785_00845,74
GCF_000009145_00928,3,GCF_000009145_00928,4.0,GCF_000009145_00928,75
GCF_000009145_00929,2,GCF_000009145_00929,4.0,GCF_000009145_00929,76
GCF_000009145_00930,144,GCF_000009145_00930,4.0,GCF_000009145_00930,77
GCF_000009145_00931,150,GCF_000009145_00931,4.0,GCF_000009145_00931,78
GCF_000009145_00932,1,GCF_000009145_00932,4.0,GCF_000009145_00932,79
GCF_000009145_00933,0,GCF_000009145_00933,4.0,GCF_000009145_00933,80
GCF_000009145_00934,34,GCF_000009145_00934,4.0,GCF_000009145_00934,81
GCF_000009145_00935,37,GCF_000009145_00935,4.0,GCF_000009145_00935,82
GCF_000009145_00936,39,GCF_000009145_00936,4.0,GCF_000009145_00936,83
GCF_000009145_00937,40,GCF_000009145_00937,4.0,GCF_000009145_00937,84
GCF_000009145_00938,41,GCF_000009145_00938,4.0,GCF_000009145_00938,85
GCF_000009145_00939,42,GCF_000009145_00939,4.0,GCF_000009145_00939,86
GCF_000011385_04404,191,GCF_000011385_04404,4.0,GCF_000011385_04404,87
GCF_000011385_04405,46,GCF_000011385_04405,4.0,GCF_000011385_04405,88
GCF_000011385_04406,50,GCF_000011385_04406,4.0,GCF_000011385_04406,89
GCF_000011385_04407,56,GCF_000011385_04407,4.0,GCF_000011385_04407,90
GCF_000011385_04408,61,GCF_000011385_04408,4.0,GCF_000011385_04408,91
GCF_000011385_04409,68,GCF_000011385_04409,4.0,GCF_000011385_04409,92
GCF_000011385_04410,9,GCF_000011385_04410,4.0,GCF_000011385_04410,93
GCF_000011385_04411,80,GCF_000011385_04411,4.0,GCF_000011385_04411,94
GCF_000011385_04412,86,GCF_000011385_04412,4.0,GCF_000011385_04412,95
GCF_000011385_04413,90,GCF_000011385_04413,4.0,GCF_000011385_04413,96
GCF_000011385_04414,96,GCF_000011385_04414,4.0,GCF_000011385_04414,97
GCF_000011385_04415,102,GCF_000011385_04415,4.0,GCF_000011385_04415,98
GCF_000011385_04416,107,GCF_000011385_04416,4.0,GCF_000011385_04416,99
GCF_000011385_04417,112,GCF_000011385_04417,4.0,GCF_000011385_04417,100
GCF_000011385_04418,115,GCF_000011385_04418,4.0,GCF_000011385_04418,101
GCF_000014765_01406,3,GCF_000014765_01406,4.0,GCF_000014765_01406,102
GCF_000014765_01407,2,GCF_000014765_01407,4.0,GCF_000014765_01407,103
GCF_000014765_01408,1,GCF_000014765_01408,4.0,GCF_000014765_01408,104
GCF_000014765_01409,0,GCF_000014765_01409,4.0,GCF_000014765_01409,105
GCF_000014765_01410,34,GCF_000014765_01410,4.0,GCF_000014765_01410,106
GCF_000014765_01411,37,GCF_000014765_01411,4.0,GCF_000014765_01411,107
GCF_000014765_01412,39,GCF_000014765_01412,4.0,GCF_000014765_01412,108
GCF_000014765_01413,40,GCF_000014765_01413,4.0,GCF_000014765_01413,109
GCF_000014765_01414,41,GCF_000014765_01414,4.0,GCF_000014765_01414,110
GCF_000014765_01415,42,GCF_000014765_01415,4.0,GCF_000014765_01415,111
GCF_000046845_01127,162,GCF_000046845_01127,4.0,GCF_000046845_01127,112
GCF_000046845_01128,167,GCF_000046845_01128,4.0,GCF_000046845_01128,113
GCF_000046845_01129,170,GCF_000046845_01129,4.0,GCF_000046845_01129,114
GCF_000046845_01130,175,GCF_000046845_01130,4.0,GCF_000046845_01130,115
GCF_000046845_01131,180,GCF_000046845_01131,4.0,GCF_000046845_01131,116
GCF_000046845_01132,184,GCF_000046845_01132,4.0,GCF_000046845_01132,117
GCF_000046845_01133,189,GCF_000046845_01133,4.0,GCF_000046845_01133,118
GCF_000046845_01134,192,GCF_000046845_01134,4.0,GCF_000046845_01134,119
GCF_000046845_01135,47,GCF_000046845_01135,4.0,GCF_000046845_01135,120
GCF_000046845_01136,51,GCF_000046845_01136,4.0,GCF_000046845_01136,121
GCF_000046845_01137,57,GCF_000046845_01137,4.0,GCF_000046845_01137,122
GCF_000196355_02251,22,GCF_000196355_02251,4.0,GCF_000196355_02251,123
GCF_000196355_02252,23,GCF_000196355_02252,4.0,GCF_000196355_02252,124
GCF_000196355_02253,152,GCF_000355765_02774,4.0,GCF_000355765_02774,172
GCF_000196355_02254,14,GCF_000196355_02254,4.0,GCF_000196355_02254,125
GCF_000196355_02255,35,GCF_000619905_02143,4.0,GCF_000619905_02143,199
GCF_000196355_02256,16,GCF_000196355_02256,4.0,GCF_000196355_02256,126
GCF_000196355_02257,0,GCF_000196355_02257,4.0,GCF_000196355_02257,127
GCF_000196355_02258,1,GCF_000196355_02258,4.0,GCF_000196355_02258,128
GCF_000196355_02259,2,GCF_000196355_02259,4.0,GCF_000196355_02259,129
GCF_000196355_02260,3,GCF_000196355_02260,4.0,GCF_000196355_02260,130
GCF_000204075_01837,116,GCF_000204075_01837,4.0,GCF_000204075_01837,131
GCF_000204075_01838,118,GCF_000204075_01838,4.0,GCF_000204075_01838,132
GCF_000204075_01839,123,GCF_000204075_01839,4.0,GCF_000204075_01839,133
GCF_000204075_01840,127,GCF_000204075_01840,4.0,GCF_000204075_01840,134
GCF_000204075_01841,31,GCF_000204075_01841,4.0,GCF_000204075_01841,135
GCF_000204075_01842,19,GCF_000204075_01842,4.0,GCF_000204075_01842,136
GCF_000204075_01843,9,GCF_000204075_01843,4.0,GCF_000204075_01843,137
GCF_000204075_01844,140,GCF_000204075_01844,4.0,GCF_000204075_01844,138
GCF_000204075_01845,145,GCF_000204075_01845,4.0,GCF_000204075_01845,139
GCF_000204075_01846,151,GCF_000204075_01846,4.0,GCF_000204075_01846,140
GCF_000204075_01847,158,GCF_000204075_01847,4.0,GCF_000204075_01847,141
GCF_000204075_01848,163,GCF_000204075_01848,4.0,GCF_000204075_01848,142
GCF_000204075_01849,168,GCF_000204075_01849,4.0,GCF_000204075_01849,143
GCF_000204075_01850,171,GCF_000204075_01850,4.0,GCF_000204075_01850,144
GCF_000332235_02681,176,GCF_000332235_02681,4.0,GCF_000332235_02681,145
GCF_000332235_02682,181,GCF_000332235_02682,4.0,GCF_000332235_02682,146
GCF_000332235_02683,185,GCF_000332235_02683,4.0,GCF_000332235_02683,147
GCF_000332235_02684,31,GCF_000332235_02684,4.0,GCF_000332235_02684,148
GCF_000332235_02685,19,GCF_000332235_02685,4.0,GCF_000332235_02685,149
GCF_000332235_02686,9,GCF_000332235_02686,4.0,GCF_000332235_02686,150
GCF_000332235_02687,52,GCF_000332235_02687,4.0,GCF_000332235_02687,151
GCF_000332235_02688,58,GCF_000332235_02688,4.0,GCF_000332235_02688,152
GCF_000332235_02689,63,GCF_000332235_02689,4.0,GCF_000332235_02689,153
GCF_000332235_02690,69,GCF_000332235_02690,4.0,GCF_000332235_02690,154
GCF_000332235_02691,74,GCF_000332235_02691,4.0,GCF_000332235_02691,155
GCF_000332235_02692,81,GCF_000332235_02692,4.0,GCF_000332235_02692,156
GCF_000332235_02693,87,GCF_000332235_02693,4.0,GCF_000332235_02693,157
GCF_000340785_01343,91,GCF_000340785_01343,4.0,GCF_000340785_01343,158
GCF_000340785_01344,97,GCF_000340785_01344,4.0,GCF_000340785_01344,159
GCF_000340785_01345,103,GCF_000340785_01345,4.0,GCF_000340785_01345,160
GCF_000340785_01346,108,GCF_000340785_01346,4.0,GCF_000340785_01346,161
GCF_000340785_01347,19,GCF_000340785_01347,4.0,GCF_000340785_01347,162
GCF_000340785_01348,9,GCF_000340785_01348,4.0,GCF_000340785_01348,163
GCF_000340785_01349,119,GCF_000340785_01349,4.0,GCF_000340785_01349,164
GCF_000340785_01350,124,GCF_000340785_01350,4.0,GCF_000340785_01350,165
GCF_000340785_01351,128,GCF_000340785_01351,4.0,GCF_000340785_01351,166
GCF_000340785_01352,132,GCF_000340785_01352,4.0,GCF_000340785_01352,167
GCF_000340785_01353,134,GCF_000340785_01353,4.0,GCF_000340785_01353,168
GCF_000340785_01354,137,GCF_000340785_01354,4.0,GCF_000340785_01354,169
GCF_000355765_02772,22,GCF_000355765_02772,4.0,GCF_000355765_02772,170
GCF_000355765_02773,23,GCF_000355765_02773,4.0,GCF_000355765_02773,171
GCF_000355765_02774,152,GCF_000355765_02774,4.0,GCF_000355765_02774,172
GCF_000355765_02775,14,GCF_000355765_02775,4.0,GCF_000355765_02775,173
GCF_000355765_02776,35,GCF_000355765_02776,4.0,GCF_000355765_02776,174
GCF_000355765_02777,16,GCF_000355765_02777,4.0,GCF_000355765_02777,175
GCF_000355765_02778,0,GCF_000355765_02778,4.0,GCF_000355765_02778,176
GCF_000355765_02779,1,GCF_000355765_02779,4.0,GCF_000355765_02779,177
GCF_000355765_02780,2,GCF_000355765_02780,4.0,GCF_000355765_02780,178
GCF_000355765_02781,3,GCF_000355765_02781,4.0,GCF_000355765_02781,179
GCF_000519045_03411,84,GCA_016721185_01985,4.0,GCA_016721185_01985,36
GCF_000519045_03412,3,GCF_000519045_03412,4.0,GCF_000519045_03412,180
GCF_000519045_03413,2,GCF_000519045_03413,4.0,GCF_000519045_03413,181
GCF_000519045_03414,1,GCF_000519045_03414,4.0,GCF_000519045_03414,182
GCF_000519045_03415,0,GCF_000519045_03415,4.0,GCF_000519045_03415,183
GCF_000519045_03417,64,GCF_000519045_03417,4.0,GCF_000519045_03417,184
GCF_000519045_03418,70,GCF_000519045_03418,4.0,GCF_000519045_03418,185
GCF_000519045_03419,13,GCF_000519045_03419,4.0,GCF_000519045_03419,186
GCF_000519045_03420,12,GCF_000519045_03420,4.0,GCF_000519045_03420,187
GCF_000519045_03421,11,GCF_000519045_03421,4.0,GCF_000519045_03421,188
GCF_000619905_02133,92,GCF_000619905_02133,4.0,GCF_000619905_02133,189
GCF_000619905_02134,98,GCF_000619905_02134,4.0,GCF_000619905_02134,190
GCF_000619905_02135,104,GCF_000619905_02135,4.0,GCF_000619905_02135,191
GCF_000619905_02136,109,GCF_000619905_02136,4.0,GCF_000619905_02136,192
GCF_000619905_02137,3,GCF_000619905_02137,4.0,GCF_000619905_02137,193
GCF_000619905_02138,2,GCF_000619905_02138,4.0,GCF_000619905_02138,194
GCF_000619905_02139,120,GCF_000619905_02139,4.0,GCF_000619905_02139,195
GCF_000619905_02140,1,GCF_000619905_02140,4.0,GCF_000619905_02140,196
GCF_000619905_02141,0,GCF_000619905_02141,4.0,GCF_000619905_02141,197
GCF_000619905_02142,16,GCF_000619905_02142,4.0,GCF_000619905_02142,198
GCF_000619905_02143,35,GCF_000619905_02143,4.0,GCF_000619905_02143,199
GCF_000619905_02144,14,GCF_000619905_02144,4.0,GCF_000619905_02144,200
GCF_001007935_03090,25,GCF_001007935_03090,4.0,GCF_001007935_03090,201
GCF_001007935_03091,27,GCF_001007935_03091,4.0,GCF_001007935_03091,202
GCF_001007935_03092,153,GCF_001007935_03092,4.0,GCF_001007935_03092,203
GCF_001007935_03093,159,GCF_001007935_03093,4.0,GCF_001007935_03093,204
GCF_001007935_03094,164,GCF_001007935_03094,4.0,GCF_001007935_03094,205
GCF_001007935_03095,29,GCF_001007935_03095,4.0,GCF_001007935_03095,206
GCF_001007935_03096,0,GCF_001007935_03096,4.0,GCF_001007935_03096,207
GCF_001007935_03097,1,GCF_001007935_03097,4.0,GCF_001007935_03097,208
GCF_001007935_03098,2,GCF_001007935_03098,4.0,GCF_001007935_03098,209
GCF_001007935_03099,3,GCF_001007935_03099,4.0,GCF_001007935_03099,210
GCF_001046855_01614,190,GCF_001046855_01614,4.0,GCF_001046855_01614,211
GCF_001046855_01615,193,GCF_001046855_01615,4.0,GCF_001046855_01615,212
GCF_001046855_01616,48,GCF_001046855_01616,4.0,GCF_001046855_01616,213
GCF_001046855_01617,53,GCF_001046855_01617,4.0,GCF_001046855_01617,214
GCF_001046855_01618,10,GCF_001046855_01618,4.0,GCF_001046855_01618,215
GCF_001046855_01619,6,GCF_001046855_01619,4.0,GCF_001046855_01619,216
GCF_001046855_01620,7,GCF_001046855_01620,4.0,GCF_001046855_01620,217
GCF_001046855_01621,75,GCF_001046855_01621,4.0,GCF_001046855_01621,218
GCF_001046855_01622,15,GCF_001046855_01622,4.0,GCF_001046855_01622,219
GCF_001046855_01623,8,GCF_001046855_01623,4.0,GCF_001046855_01623,220
GCF_001046875_00601,93,GCF_001046875_00601,4.0,GCF_001046875_00601,221
GCF_001046875_00602,99,GCF_001046875_00602,4.0,GCF_001046875_00602,222
GCF_001046875_00603,105,GCF_001046875_00603,4.0,GCF_001046875_00603,223
GCF_001046875_00604,6,GCF_001046875_00604,4.0,GCF_001046875_00604,224
GCF_001046875_00605,7,GCF_001046875_00605,4.0,GCF_001046875_00605,225
GCF_001046875_00606,28,GCF_001046875_00606,4.0,GCF_001046875_00606,226
GCF_001046875_00607,8,GCF_001046875_00607,4.0,GCF_001046875_00607,227
GCF_001046875_00608,17,GCF_001046875_00608,4.0,GCF_001046875_00608,228
GCF_001046875_00609,30,GCF_001046875_00609,4.0,GCF_001046875_00609,229
GCF_001050535_01439,30,GCF_001050535_01439,4.0,GCF_001050535_01439,230
GCF_001050535_01440,17,GCF_001050535_01440,4.0,GCF_001050535_01440,231
GCF_001050535_01441,8,GCF_001050535_01441,4.0,GCF_001050535_01441,232
GCF_001050535_01442,28,GCF_001050535_01442,4.0,GCF_001050535_01442,233
GCF_001050535_01443,7,GCF_001050535_01443,4.0,GCF_001050535_01443,234
GCF_001050535_01444,6,GCF_001050535_01444,4.0,GCF_001050535_01444,235
GCF_001050535_01445,10,GCF_001050535_01445,4.0,GCF_001050535_01445,236
GCF_001050535_01446,165,GCF_001050535_01446,4.0,GCF_001050535_01446,237
GCF_001050535_01447,169,GCF_001050535_01447,4.0,GCF_001050535_01447,238
GCF_001050535_01448,172,GCF_001050535_01448,4.0,GCF_001050535_01448,239
GCF_001050535_01449,177,GCF_001050535_01449,4.0,GCF_001050535_01449,240
GCF_001050535_01450,182,GCF_001050535_01450,4.0,GCF_001050535_01450,241
GCF_001455205_00692,186,GCF_001455205_00692,4.0,GCF_001455205_00692,242
GCF_001455205_00693,36,GCF_001455205_00693,4.0,GCF_001455205_00693,243
GCF_001455205_00694,1,GCF_001455205_00694,4.0,GCF_001455205_00694,244
GCF_001455205_00695,0,GCF_001455205_00695,4.0,GCF_001455205_00695,245
GCF_001455205_00696,54,GCF_001455205_00696,4.0,GCF_001455205_00696,246
GCF_001455205_00697,59,GCF_001455205_00697,4.0,GCF_001455205_00697,247
GCF_001455205_00698,65,GCF_001455205_00698,4.0,GCF_001455205_00698,248
GCF_001455205_00699,71,GCF_001455205_00699,4.0,GCF_001455205_00699,249
GCF_001455205_00700,76,GCF_001455205_00700,4.0,GCF_001455205_00700,250
GCF_001551835_02801,44,GCF_009469765_00438,4.0,GCF_009469765_00438,292
GCF_001551835_02802,11,GCF_009469765_00437,4.0,GCF_009469765_00437,291
GCF_001551835_02803,12,GCF_009469765_00436,4.0,GCF_009469765_00436,290
GCF_001551835_02804,13,GCF_009469765_00435,4.0,GCF_009469765_00435,289
GCF_001551835_02805,26,GCF_001551835_02805,4.0,GCF_001551835_02805,251
GCF_001551835_02806,0,GCF_009469765_00433,4.0,GCF_009469765_00433,287
GCF_001551835_02807,1,GCF_009469765_00432,4.0,GCF_009469765_00432,286
GCF_001551835_02808,2,GCF_009469765_00431,4.0,GCF_009469765_00431,285
GCF_001551835_02809,3,GCF_009469765_00430,4.0,GCF_009469765_00430,284
GCF_001551835_02810,84,GCA_016721185_01985,4.0,GCA_016721185_01985,36
GCF_003345255_00084,129,GCF_003345255_00084,4.0,GCF_003345255_00084,252
GCF_003345255_00085,133,GCF_003345255_00085,4.0,GCF_003345255_00085,253
GCF_003345255_00086,135,GCF_003345255_00086,4.0,GCF_003345255_00086,254
GCF_003345255_00087,138,GCF_003345255_00087,4.0,GCF_003345255_00087,255
GCF_003345255_00088,141,GCF_003345255_00088,4.0,GCF_003345255_00088,256
GCF_003345255_00089,146,GCF_003345255_00089,4.0,GCF_003345255_00089,257
GCF_003345255_00090,154,GCF_003345255_00090,4.0,GCF_003345255_00090,258
GCF_003345255_00091,0,GCF_003345255_00091,4.0,GCF_003345255_00091,259
GCF_003345255_00092,1,GCF_003345255_00092,4.0,GCF_003345255_00092,260
GCF_003345255_00093,3,GCF_003345255_00093,4.0,GCF_003345255_00093,261
GCF_003345255_00094,2,GCF_003345255_00094,4.0,GCF_003345255_00094,262
GCF_003345255_00095,178,GCF_003345255_00095,4.0,GCF_003345255_00095,263
GCF_005889575_01187,43,GCF_005889575_01187,4.0,GCF_005889575_01187,264
GCF_005889575_01188,4,GCF_005889575_01188,4.0,GCF_005889575_01188,265
GCF_005889575_01189,0,GCF_005889575_01189,4.0,GCF_005889575_01189,266
GCF_005889575_01190,1,GCF_005889575_01190,4.0,GCF_005889575_01190,267
GCF_005889575_01191,2,GCA_017592725_00753,4.0,GCA_017592725_00753,53
GCF_005889575_01192,3,GCA_017592725_00752,4.0,GCA_017592725_00752,52
GCF_005889575_01193,161,GCA_017592725_00751,4.0,GCA_017592725_00751,51
GCF_005889575_01194,66,GCF_005889575_01194,4.0,GCF_005889575_01194,268
GCF_005889575_01195,72,GCF_005889575_01195,4.0,GCF_005889575_01195,269
GCF_005889575_01196,77,GCF_005889575_01196,4.0,GCF_005889575_01196,270
GCF_009184895_02170,82,GCF_009184895_02170,4.0,GCF_009184895_02170,271
GCF_009184895_02171,88,GCF_009184895_02171,4.0,GCF_009184895_02171,272
GCF_009184895_02172,17,GCF_009184895_02172,4.0,GCF_009184895_02172,273
GCF_009184895_02173,8,GCF_009184895_02173,4.0,GCF_009184895_02173,274
GCF_009184895_02174,15,GCF_009184895_02174,4.0,GCF_009184895_02174,275
GCF_009184895_02175,7,GCF_009184895_02175,4.0,GCF_009184895_02175,276
GCF_009184895_02176,6,GCF_009184895_02176,4.0,GCF_009184895_02176,277
GCF_009184895_02177,10,GCF_009184895_02177,4.0,GCF_009184895_02177,278
GCF_009184895_02178,21,GCF_009184895_02178,4.0,GCF_009184895_02178,279
GCF_009184895_02179,20,GCF_009184895_02179,4.0,GCF_009184895_02179,280
GCF_009184895_02180,130,GCF_009184895_02180,4.0,GCF_009184895_02180,281
GCF_009184895_02181,32,GCF_009184895_02181,4.0,GCF_009184895_02181,282
GCF_009184895_02182,136,GCF_009184895_02182,4.0,GCF_009184895_02182,283
GCF_009469765_00429,84,GCA_016721185_01985,4.0,GCA_016721185_01985,36
GCF_009469765_00430,3,GCF_009469765_00430,4.0,GCF_009469765_00430,284
GCF_009469765_00431,2,GCF_009469765_00431,4.0,GCF_009469765_00431,285
GCF_009469765_00432,1,GCF_009469765_00432,4.0,GCF_009469765_00432,286
GCF_009469765_00433,0,GCF_009469765_00433,4.0,GCF_009469765_00433,287
GCF_009469765_00434,26,GCF_009469765_00434,4.0,GCF_009469765_00434,288
GCF_009469765_00435,13,GCF_009469765_00435,4.0,GCF_009469765_00435,289
GCF_009469765_00436,12,GCF_009469765_00436,4.0,GCF_009469765_00436,290
GCF_009469765_00437,11,GCF_009469765_00437,4.0,GCF_009469765_00437,291
GCF_009469765_00438,44,GCF_009469765_00438,4.0,GCF_009469765_00438,292
GCF_009707485_00848,187,GCF_009707485_00848,4.0,GCF_009707485_00848,293
GCF_009707485_00849,32,GCF_009707485_00849,4.0,GCF_009707485_00849,294
GCF_009707485_00850,62,GCF_009707485_00850,4.0,GCF_009707485_00850,295
GCF_009707485_00851,49,GCF_009707485_00851,4.0,GCF_009707485_00851,296
GCF_009707485_00852,20,GCF_009707485_00852,4.0,GCF_009707485_00852,297
GCF_009707485_00853,21,GCF_009707485_00853,4.0,GCF_009707485_00853,298
GCF_009707485_00854,10,GCF_009707485_00854,4.0,GCF_009707485_00854,299
GCF_009707485_00855,6,GCF_009707485_00855,4.0,GCF_009707485_00855,300
GCF_009707485_00856,78,GCF_009707485_00856,4.0,GCF_009707485_00856,301
GCF_009707485_00857,7,GCF_009707485_00857,4.0,GCF_009707485_00857,302
GCF_009707485_00858,15,GCF_009707485_00858,4.0,GCF_009707485_00858,303
GCF_009707485_00859,94,GCF_009707485_00859,4.0,GCF_009707485_00859,304
GCF_009707485_00860,100,GCF_009707485_00860,4.0,GCF_009707485_00860,305
GCF_009707485_00862,8,GCF_009707485_00862,4.0,GCF_009707485_00862,306
GCF_009833085_00390,110,GCF_009833085_00390,4.0,GCF_009833085_00390,307
GCF_009833085_00391,113,GCF_009833085_00391,4.0,GCF_009833085_00391,308
GCF_009833085_00392,117,GCF_009833085_00392,4.0,GCF_009833085_00392,309
GCF_009833085_00393,121,GCF_009833085_00393,4.0,GCF_009833085_00393,310
GCF_009833085_00394,125,GCF_009833085_00394,4.0,GCF_009833085_00394,311
GCF_009833085_00395,0,GCF_009833085_00395,4.0,GCF_009833085_00395,312
GCF_009833085_00396,1,GCF_009833085_00396,4.0,GCF_009833085_00396,313
