bin:contig,start,end,locus_tag,ec_num
3300025737.a:Ga0208694_1010528,4328,5233,PFKMDBAH_00179,3.4.19.5
3300025706.a:Ga0209507_1000123,36412,37212,EIDKEEKN_04406,3.4.19.5
3300009772.a:Ga0116162_10000017,89099,90046,CMFPIOOD_00135,3.4.19.5
3300026288.a:Ga0209572_1000383,66010,67014,LHNLFPIB_00132,3.4.19.5
3300026288.a:Ga0209572_1000093,181755,182597,LHNLFPIB_00408,3.4.19.5
3300026516.a:Ga0209573_1002087,2258,3283,DBLEEJNG_01237,3.4.19.5
3300026516.a:Ga0209573_1000892,48575,49549,DBLEEJNG_02010,3.4.19.5
3300026516.a:Ga0209573_1000721,60797,61729,APMHFLBK_01027,3.4.19.5
3300029446.a:Ga0167332_1000424,28497,29474,MMKNNAAI_01525,3.4.19.5
3300026288.a:Ga0209572_1002138,6453,7295,MBNOJLMN_02094,3.4.19.5
3300025861.a:Ga0209605_1000017,213510,214430,EAJPPLPO_00384,3.4.19.5
3300025855.a:Ga0209717_1001121,27572,28414,KILKOFOF_01726,3.4.19.5
3300025784.a:Ga0209200_1000406,9173,10096,CMIHAFMG_00700,3.4.19.5
3300026287.a:Ga0209571_1000065,100448,101260,CLFBHKCH_00229,3.4.19.5
3300026287.a:Ga0209571_1000033,285277,286338,CLFBHKCH_02569,3.4.19.5
3300012020.a:Ga0119869_1000811,4275,5231,LBDKBLPE_03258,3.4.19.5
3300028622.a:Ga0302253_1000059,86216,87121,ONJOJNNC_01319,3.4.19.5
3300009540.a:Ga0073899_10000866,4694,5620,IBIDFEHA_01896,3.4.19.5
3300013769.a:Ga0119887_1000007,232282,233208,BBFEPJCO_02831,3.4.19.5
3300026282.a:Ga0209053_1000005,643386,644276,JDCADHNK_00664,3.4.19.5
3300026282.a:Ga0209053_1000003,930539,931600,JDCADHNK_02556,3.4.19.5
3300025702.a:Ga0209203_1000144,8361,9242,DNLBKNFA_02930,3.4.19.5
3300027673.a:Ga0209278_1000174,4089,4940,GAAJEEDJ_01024,3.4.19.5
3300027789.a:Ga0209174_10000161,8051,9064,AEKJDHPB_00276,3.4.19.5
3300012533.a:Ga0138256_10002830,10913,11914,AIEFFNEC_00452,3.4.19.5
3300026288.a:Ga0209572_1000012,510590,511549,GNGBPJMN_02734,3.4.19.5
3300014059.a:Ga0119868_1000083,8524,9384,BELEPGMD_01500,3.4.19.5
3300025393.a:Ga0208041_1000016,51961,52938,AHFEBCCF_00472,3.4.19.5
3300003281.a:Y607_1006850,14393,15325,DAIHMNDM_00441,3.4.19.5
3300003281.a:Y607_1006884,7767,8612,DAIHMNDM_02547,3.4.19.5
3300025847.a:Ga0209607_1003167,527,1522,BJNLIKMJ_02008,3.4.19.5
3300023187.a:Ga0256613_1122945,185409,186251,GFNAJHAB_02503,3.4.19.5
3300029948.a:Ga0119873_1000044,14230,15288,ALJBLPEH_00237,3.4.19.5
3300029948.a:Ga0119873_1000040,18432,19364,ALJBLPEH_01913,3.4.19.5
3300029314.a:Ga0239302_100682,944,1846,NPKKJOBE_00197,3.4.19.5
3300029314.a:Ga0239302_100032,67336,68247,NPKKJOBE_01851,3.4.19.5
3300002846.a:draft_100012,70560,71642,HKMPPMNI_01440,3.4.19.5
3300014830.a:Ga0119906_1000018,192620,193567,ENAPNIBE_02441,3.4.19.5
3300025629.a:Ga0208824_1017618,153,1058,BBKJHGPF_00032,3.4.19.5
3300026288.a:Ga0209572_1001187,8662,9738,BNCBNEGH_02290,3.4.19.5
3300025856.a:Ga0209604_1013569,638,1600,FNKDCCGE_00006,3.4.19.5
3300025856.a:Ga0209604_1000045,64086,65090,FNKDCCGE_01959,3.4.19.5
3300014830.a:Ga0119906_1000385,9566,10636,GGBJBMDL_01914,3.4.19.5
3300026286.a:Ga0209460_1000612,24839,25792,CELGGOCB_02273,3.4.19.5
3300006056.a:Ga0075163_10000583,23263,24186,OHCHDHGL_00119,3.4.19.5
3300026302.a:Ga0209794_1000096,139212,140186,HJFBKKFC_00335,3.4.19.5
3300026289.a:Ga0209369_1000103,31023,32099,EDFIDEBO_01024,3.4.19.5
3300029233.a:Ga0168116_1000105,12373,13257,ADNLKCOC_03619,3.4.19.5
3300026283.a:Ga0209368_1000143,75759,76682,BPAONJBP_01244,3.4.19.5
3300025772.a:Ga0208939_1000021,63052,64056,CJJDLAPK_00786,3.4.19.5
3300025408.a:Ga0208462_1000026,69292,70269,BNJNDLBK_02347,3.4.19.5
3300025471.a:Ga0209508_1000035,166271,167200,DFMKAKNK_00192,3.4.19.5
3300025677.a:Ga0209719_1000183,63140,64144,KHPPJECO_00596,3.4.19.5
3300026282.a:Ga0209053_1000387,28266,29309,JLAMJPBN_00530,3.4.19.5
3300026282.a:Ga0209053_1000302,14587,15531,JLAMJPBN_02816,3.4.19.5
3300026283.a:Ga0209368_1000152,10249,11196,GCBIDMGP_04655,3.4.19.5
3300025861.a:Ga0209605_1004523,9173,10096,FONNAEDF_01607,3.4.19.5
3300026516.a:Ga0209573_1000219,35471,36502,PJBICFCB_03227,3.4.19.5
3300025859.a:Ga0209096_1000852,26242,27162,PLDIBHGP_01793,3.4.19.5
3300025631.a:Ga0209204_1001207,2634,3557,GMOBJHEE_02536,3.4.19.5
