locus_tag,ftype,length_bp,gene,EC_number,COG,product,bin
MBECJGJC_00051,CDS,333,ubiK,,,Ubiquinone biosynthesis accessory factor UbiK,UW4-IA
MBECJGJC_00052,CDS,1506,comM,,COG0606,Competence protein ComM,UW4-IA
MBECJGJC_00053,CDS,1287,sauU,,,putative sulfoacetate transporter SauU,UW4-IA
MBECJGJC_00054,CDS,492,,,,hypothetical protein,UW4-IA
MBECJGJC_00055,CDS,1365,trpB_2,4.2.1.20,COG0133,Tryptophan synthase beta chain,UW4-IA
MBECJGJC_00056,CDS,711,,,,hypothetical protein,UW4-IA
MBECJGJC_00057,CDS,624,coaE,2.7.1.24,COG0237,Dephospho-CoA kinase,UW4-IA
MBECJGJC_00058,CDS,756,zapD,,COG4582,Cell division protein ZapD,UW4-IA
MBECJGJC_00059,CDS,1212,,,,L-lactate transporter,UW4-IA
MBECJGJC_00060,CDS,732,inaA,,,Protein InaA,UW4-IA
MBECJGJC_00061,CDS,1119,proB,2.7.2.11,,Glutamate 5-kinase,UW4-IA
MBECJGJC_00062,CDS,1107,cgtA,3.6.5.-,COG0536,GTPase Obg/CgtA,UW4-IA
MBECJGJC_00063,CDS,264,rpmA,,COG0211,50S ribosomal protein L27,UW4-IA
MBECJGJC_00064,CDS,336,rplU,,COG0261,50S ribosomal protein L21,UW4-IA
MBECJGJC_00065,CDS,963,ispB,2.5.1.90,COG0142,Octaprenyl diphosphate synthase,UW4-IA
MBECJGJC_00066,tRNA,77,,,,tRNA-Pro(cgg),UW4-IA
MBECJGJC_00067,CDS,1590,rcsC_1,2.7.13.3,,Sensor histidine kinase RcsC,UW4-IA
MBECJGJC_00068,CDS,1371,atoC_1,,COG2204,Regulatory protein AtoC,UW4-IA
MBECJGJC_00069,CDS,471,ampD,3.5.1.28,,"1,6-anhydro-N-acetylmuramyl-L-alanine amidase AmpD",UW4-IA
MBECJGJC_00070,CDS,1161,aspC,2.6.1.1,COG0436,Aspartate aminotransferase,UW4-IA
MBECJGJC_00071,CDS,1308,pckG,4.1.1.32,COG1274,Phosphoenolpyruvate carboxykinase [GTP],UW4-IA
MBECJGJC_00072,CDS,2649,sasA_3,2.7.-.-,,Adaptive-response sensory-kinase SasA,UW4-IA
MBECJGJC_00073,CDS,1524,sasA_4,2.7.-.-,,Adaptive-response sensory-kinase SasA,UW4-IA
MBECJGJC_00074,CDS,2475,rssB_2,,,Regulator of RpoS,UW4-IA
MBECJGJC_00075,CDS,1074,,,,hypothetical protein,UW4-IA
MBECJGJC_00076,CDS,1278,sasA_5,2.7.-.-,,Adaptive-response sensory-kinase SasA,UW4-IA
MBECJGJC_00077,CDS,2979,cheB_1,3.5.1.44,,Protein-glutamate methylesterase/protein-glutamine glutaminase,UW4-IA
MBECJGJC_00078,CDS,1125,,,,hypothetical protein,UW4-IA
MBECJGJC_00079,CDS,3027,,,,hypothetical protein,UW4-IA
MBECJGJC_00080,CDS,1116,,,,hypothetical protein,UW4-IA
MBECJGJC_00081,CDS,585,,,,hypothetical protein,UW4-IA
MBECJGJC_00082,CDS,843,,,,hypothetical protein,UW4-IA
MBECJGJC_00083,CDS,6027,,,,hypothetical protein,UW4-IA
MBECJGJC_00084,CDS,450,,,,hypothetical protein,UW4-IA
MBECJGJC_00085,CDS,1971,,,,hypothetical protein,UW4-IA
MBECJGJC_00086,CDS,582,yhbO,3.1.2.-,COG0693,Protein/nucleic acid deglycase 2,UW4-IA
MBECJGJC_00087,CDS,2718,acnA,4.2.1.3,COG1048,Aconitate hydratase A,UW4-IA
MBECJGJC_00088,CDS,1650,sasA_6,2.7.-.-,,Adaptive-response sensory-kinase SasA,UW4-IA
MBECJGJC_00089,CDS,1149,,,,hypothetical protein,UW4-IA
MBECJGJC_00090,CDS,837,SIRT5,2.3.1.286,,"NAD-dependent protein deacylase sirtuin-5, mitochondrial",UW4-IA
MBECJGJC_00091,CDS,900,,,,hypothetical protein,UW4-IA
MBECJGJC_00092,CDS,1749,kefC_1,,COG0475,Glutathione-regulated potassium-efflux system protein KefC,UW4-IA
MBECJGJC_00093,CDS,411,,,,hypothetical protein,UW4-IA
MBECJGJC_00094,CDS,1134,,,,hypothetical protein,UW4-IA
MBECJGJC_00095,CDS,258,,,,hypothetical protein,UW4-IA
MBECJGJC_00096,CDS,537,,,,hypothetical protein,UW4-IA
MBECJGJC_00097,CDS,1185,acdA_1,1.3.99.-,COG1960,Acyl-CoA dehydrogenase,UW4-IA
MBECJGJC_00098,CDS,1257,uctC_1,2.8.3.19,,Acetyl-CoA:oxalate CoA-transferase,UW4-IA
MBECJGJC_00099,CDS,1518,sasA_7,2.7.-.-,,Adaptive-response sensory-kinase SasA,UW4-IA
MBECJGJC_00100,CDS,378,spo0F,2.7.-.-,COG0784,Sporulation initiation phosphotransferase F,UW4-IA
MBECJGJC_00101,CDS,294,kaiB_1,,,Circadian clock protein KaiB,UW4-IA
MBECJGJC_00102,CDS,1227,,,,hypothetical protein,UW4-IA
MBECJGJC_00103,CDS,303,kaiB_2,,,Circadian clock protein KaiB,UW4-IA
MBECJGJC_00104,CDS,1524,kaiC,2.7.11.1,,Circadian clock protein kinase KaiC,UW4-IA
MBECJGJC_00105,CDS,1584,sasA_8,2.7.-.-,,Adaptive-response sensory-kinase SasA,UW4-IA
MBECJGJC_00106,CDS,840,prpC_1,3.1.3.16,COG0631,Protein phosphatase PrpC,UW4-IA
MBECJGJC_00107,CDS,519,ppa_1,3.6.1.1,,Inorganic pyrophosphatase,UW4-IA
MBECJGJC_00108,CDS,297,,,,hypothetical protein,UW4-IA
MBECJGJC_00109,CDS,825,COQ3_1,2.1.1.222,,"Ubiquinone biosynthesis O-methyltransferase, mitochondrial",UW4-IA
MBECJGJC_00110,CDS,1704,,,,hypothetical protein,UW4-IA
MBECJGJC_00111,CDS,384,,,,hypothetical protein,UW4-IA
MBECJGJC_00112,CDS,336,,,,hypothetical protein,UW4-IA
MBECJGJC_00113,CDS,462,,,,hypothetical protein,UW4-IA
MBECJGJC_00114,CDS,3009,,,,hypothetical protein,UW4-IA
MBECJGJC_00115,CDS,387,,,,hypothetical protein,UW4-IA
MBECJGJC_00116,CDS,1053,,2.4.-.-,,putative glycosyltransferase,UW4-IA
MBECJGJC_00117,CDS,201,,,,hypothetical protein,UW4-IA
MBECJGJC_00118,CDS,717,thiG,2.8.1.10,COG2022,Thiazole synthase,UW4-IA
MBECJGJC_00119,CDS,975,,,,hypothetical protein,UW4-IA
MBECJGJC_00120,CDS,366,,,,hypothetical protein,UW4-IA
MBECJGJC_00121,CDS,1719,kefB,,,Glutathione-regulated potassium-efflux system protein KefB,UW4-IA
MBECJGJC_00122,CDS,351,erpA,,COG0316,Iron-sulfur cluster insertion protein ErpA,UW4-IA
MBECJGJC_00123,CDS,1029,argC,1.2.1.38,,N-acetyl-gamma-glutamyl-phosphate reductase,UW4-IA
MBECJGJC_00124,CDS,393,rpsI,,COG0103,30S ribosomal protein S9,UW4-IA
MBECJGJC_00125,CDS,429,rplM,,COG0102,50S ribosomal protein L13,UW4-IA
MBECJGJC_00126,CDS,420,yhfA,,COG1765,Protein YhfA,UW4-IA
MBECJGJC_00127,CDS,624,coq7,1.14.99.60,COG2941,3-demethoxyubiquinol 3-hydroxylase,UW4-IA
MBECJGJC_00128,CDS,585,,,,hypothetical protein,UW4-IA
MBECJGJC_00129,CDS,546,rppH,3.6.1.-,COG0494,RNA pyrophosphohydrolase,UW4-IA
MBECJGJC_00130,CDS,1728,proS,6.1.1.15,COG0442,Proline--tRNA ligase,UW4-IA
MBECJGJC_00131,CDS,621,mltC_1,4.2.2.-,,Membrane-bound lytic murein transglycosylase C,UW4-IA
MBECJGJC_00132,CDS,1356,ffh,,COG0541,Signal recognition particle protein,UW4-IA
MBECJGJC_00133,CDS,840,ypjD,,COG4137,Inner membrane protein YpjD,UW4-IA
MBECJGJC_00134,CDS,156,,,,hypothetical protein,UW4-IA
MBECJGJC_00135,CDS,603,nuoJ,7.1.1.-,COG0839,NADH-quinone oxidoreductase subunit J,UW4-IA
MBECJGJC_00136,CDS,489,nuoI,7.1.1.-,COG1143,NADH-quinone oxidoreductase subunit I,UW4-IA
MBECJGJC_00137,CDS,1050,nuoH,7.1.1.-,COG1005,NADH-quinone oxidoreductase subunit H,UW4-IA
MBECJGJC_00138,CDS,2337,nqo3,7.1.1.-,COG1034,NADH-quinone oxidoreductase chain 3,UW4-IA
MBECJGJC_00139,CDS,1329,nuoF,7.1.1.-,,NADH-quinone oxidoreductase subunit F,UW4-IA
MBECJGJC_00140,CDS,474,nqo2,7.1.1.-,COG1905,NADH-quinone oxidoreductase subunit 2,UW4-IA
MBECJGJC_00141,CDS,1254,nuoD,7.1.1.-,COG0649,NADH-quinone oxidoreductase subunit D,UW4-IA
MBECJGJC_00142,CDS,606,ndhJ,7.1.1.-,,"NAD(P)H-quinone oxidoreductase subunit J, chloroplastic",UW4-IA
MBECJGJC_00143,CDS,477,nuoB,7.1.1.-,COG0377,NADH-quinone oxidoreductase subunit B,UW4-IA
MBECJGJC_00144,CDS,375,ndhC,7.1.1.-,,NAD(P)H-quinone oxidoreductase subunit 3,UW4-IA
MBECJGJC_00145,tRNA,85,,,,tRNA-Leu(gag),UW4-IA
MBECJGJC_00146,CDS,372,secG,,COG1314,Protein-export membrane protein SecG,UW4-IA
MBECJGJC_00147,CDS,756,speE_1,2.5.1.16,,Polyamine aminopropyltransferase,UW4-IA
MBECJGJC_00148,CDS,1629,,,,hypothetical protein,UW4-IA
MBECJGJC_00149,CDS,717,,,,hypothetical protein,UW4-IA
MBECJGJC_00150,CDS,360,,,,hypothetical protein,UW4-IA
MBECJGJC_00151,CDS,1038,purM,6.3.3.1,,Phosphoribosylformylglycinamidine cyclo-ligase,UW4-IA
MBECJGJC_00152,CDS,753,hda,,COG0593,DnaA regulatory inactivator Hda,UW4-IA
MBECJGJC_00153,CDS,666,,3.1.3.-,COG0560,putative phosphatase,UW4-IA
MBECJGJC_00154,CDS,1368,pcnB,2.7.7.19,COG0617,Poly(A) polymerase I,UW4-IA
MBECJGJC_00155,CDS,567,,,,hypothetical protein,UW4-IA
MBECJGJC_00156,CDS,3351,rssB_3,,,Regulator of RpoS,UW4-IA
MBECJGJC_00157,CDS,429,rcp1_1,,,Response regulator rcp1,UW4-IA
MBECJGJC_00158,CDS,579,,,,hypothetical protein,UW4-IA
MBECJGJC_00159,CDS,1452,davD_1,1.2.1.-,COG1012,Glutarate-semialdehyde dehydrogenase,UW4-IA
MBECJGJC_00160,CDS,489,,,,hypothetical protein,UW4-IA
MBECJGJC_00161,CDS,525,,,,hypothetical protein,UW4-IA
MBECJGJC_00162,CDS,618,,,,hypothetical protein,UW4-IA
MBECJGJC_00163,CDS,690,,,,hypothetical protein,UW4-IA
MBECJGJC_00164,CDS,627,,,,hypothetical protein,UW4-IA
MBECJGJC_00165,CDS,465,,,,hypothetical protein,UW4-IA
MBECJGJC_00166,CDS,639,COQ3_2,2.1.1.222,,"Ubiquinone biosynthesis O-methyltransferase, mitochondrial",UW4-IA
MBECJGJC_00167,CDS,900,,,,hypothetical protein,UW4-IA
MBECJGJC_00168,CDS,5499,,,,hypothetical protein,UW4-IA
MBECJGJC_00169,CDS,192,,,,hypothetical protein,UW4-IA
MBECJGJC_00170,CDS,444,,,,hypothetical protein,UW4-IA
MBECJGJC_00171,CDS,909,sugA,,COG1175,Trehalose transport system permease protein SugA,UW4-IA
MBECJGJC_00172,CDS,1296,,,COG1653,putative ABC transporter-binding protein,UW4-IA
MBECJGJC_00173,CDS,1113,,,,hypothetical protein,UW4-IA
MBECJGJC_00174,CDS,1740,nirS_1,1.7.2.1,COG2010,Nitrite reductase,UW4-IA
MBECJGJC_00175,CDS,372,,,,hypothetical protein,UW4-IA
MBECJGJC_00176,CDS,600,argO,,COG1279,Arginine exporter protein ArgO,UW4-IA
MBECJGJC_00177,CDS,918,,,COG0583,putative HTH-type transcriptional regulator,UW4-IA
MBECJGJC_00178,CDS,1077,,1.1.1.93,,Tartrate dehydrogenase/decarboxylase,UW4-IA
MBECJGJC_00179,CDS,435,,,,hypothetical protein,UW4-IA
MBECJGJC_00180,CDS,462,,,,hypothetical protein,UW4-IA
MBECJGJC_00181,CDS,123,,,,hypothetical protein,UW4-IA
MBECJGJC_00182,CDS,1533,,,,hypothetical protein,UW4-IA
MBECJGJC_00183,CDS,450,,,,hypothetical protein,UW4-IA
MBECJGJC_00184,CDS,723,,,,hypothetical protein,UW4-IA
MBECJGJC_00185,CDS,876,pstS,,COG0226,Phosphate-binding protein PstS,UW4-IA
MBECJGJC_00186,CDS,1086,,,,hypothetical protein,UW4-IA
MBECJGJC_00187,CDS,948,,,,hypothetical protein,UW4-IA
MBECJGJC_00188,CDS,891,,,,hypothetical protein,UW4-IA
MBECJGJC_00189,CDS,822,pstB3,7.3.2.1,COG1117,Phosphate import ATP-binding protein PstB 3,UW4-IA
MBECJGJC_00190,CDS,807,pstB,7.3.2.1,,Phosphate import ATP-binding protein PstB,UW4-IA
MBECJGJC_00191,CDS,513,kbp,,COG1652,Potassium binding protein Kbp,UW4-IA
MBECJGJC_00192,CDS,1101,,,,hypothetical protein,UW4-IA
MBECJGJC_00193,CDS,1158,ybdL,2.6.1.88,COG0436,Methionine aminotransferase,UW4-IA
MBECJGJC_00194,CDS,426,mscL,,COG1970,Large-conductance mechanosensitive channel,UW4-IA
MBECJGJC_00195,CDS,1893,,,,hypothetical protein,UW4-IA
MBECJGJC_00196,CDS,852,gltR,,COG0583,HTH-type transcriptional regulator GltR,UW4-IA
MBECJGJC_00197,CDS,1221,,,,hypothetical protein,UW4-IA
MBECJGJC_00198,CDS,201,,,,hypothetical protein,UW4-IA
MBECJGJC_00199,CDS,216,,,,hypothetical protein,UW4-IA
MBECJGJC_00200,CDS,705,,,,hypothetical protein,UW4-IA
MBECJGJC_00201,CDS,738,,,,hypothetical protein,UW4-IA
MBECJGJC_00202,CDS,291,,,,hypothetical protein,UW4-IA
MBECJGJC_00203,CDS,165,,,,hypothetical protein,UW4-IA
MBECJGJC_00204,CDS,219,,,,hypothetical protein,UW4-IA
MBECJGJC_00205,CDS,255,,,,hypothetical protein,UW4-IA
MBECJGJC_00206,CDS,423,,,,hypothetical protein,UW4-IA
MBECJGJC_00207,CDS,204,,,,hypothetical protein,UW4-IA
MBECJGJC_00208,CDS,291,,,,hypothetical protein,UW4-IA
MBECJGJC_00209,CDS,285,,,,hypothetical protein,UW4-IA
MBECJGJC_00210,CDS,489,,,,hypothetical protein,UW4-IA
MBECJGJC_00211,CDS,1290,nhaP,,,K(+)/H(+) antiporter NhaP,UW4-IA
MBECJGJC_00212,CDS,165,,,,hypothetical protein,UW4-IA
MBECJGJC_00213,CDS,1275,,,,hypothetical protein,UW4-IA
MBECJGJC_00214,CDS,309,,,,hypothetical protein,UW4-IA
MBECJGJC_00215,CDS,291,,,,hypothetical protein,UW4-IA
MBECJGJC_00216,CDS,492,,,,hypothetical protein,UW4-IA
MBECJGJC_00217,CDS,540,,,,hypothetical protein,UW4-IA
MBECJGJC_00218,CDS,720,,,,hypothetical protein,UW4-IA
MBECJGJC_00219,CDS,2079,,,,hypothetical protein,UW4-IA
MBECJGJC_00220,CDS,288,,,,hypothetical protein,UW4-IA
MBECJGJC_00221,CDS,1434,,,,hypothetical protein,UW4-IA
MBECJGJC_00222,CDS,1284,,,,hypothetical protein,UW4-IA
MBECJGJC_00223,CDS,975,,,,hypothetical protein,UW4-IA
MBECJGJC_00224,CDS,255,,,,hypothetical protein,UW4-IA
MBECJGJC_00225,CDS,552,,,,hypothetical protein,UW4-IA
MBECJGJC_00226,CDS,846,,,,hypothetical protein,UW4-IA
MBECJGJC_00227,CDS,1065,,,,hypothetical protein,UW4-IA
MBECJGJC_00228,CDS,951,,,,hypothetical protein,UW4-IA
MBECJGJC_00229,CDS,312,,,,hypothetical protein,UW4-IA
MBECJGJC_00230,CDS,360,,,,hypothetical protein,UW4-IA
MBECJGJC_00231,CDS,1362,,,,hypothetical protein,UW4-IA
MBECJGJC_00232,CDS,339,,,,hypothetical protein,UW4-IA
MBECJGJC_00233,CDS,858,,,,hypothetical protein,UW4-IA
MBECJGJC_00234,CDS,633,,,,hypothetical protein,UW4-IA
MBECJGJC_00235,CDS,390,,,,hypothetical protein,UW4-IA
MBECJGJC_00236,CDS,225,,,,hypothetical protein,UW4-IA
MBECJGJC_00237,CDS,2823,,,,hypothetical protein,UW4-IA
MBECJGJC_00238,CDS,1425,,,,hypothetical protein,UW4-IA
MBECJGJC_00239,CDS,705,,,,hypothetical protein,UW4-IA
MBECJGJC_00240,CDS,393,,,,hypothetical protein,UW4-IA
MBECJGJC_00241,CDS,2604,traC,,,Protein TraC,UW4-IA
MBECJGJC_00242,CDS,609,,,,hypothetical protein,UW4-IA
MBECJGJC_00243,CDS,711,dsbC_1,,COG1651,putative thiol:disulfide interchange protein DsbC,UW4-IA
MBECJGJC_00244,CDS,1278,,,,hypothetical protein,UW4-IA
MBECJGJC_00245,CDS,684,,,,hypothetical protein,UW4-IA
MBECJGJC_00246,CDS,591,,,,hypothetical protein,UW4-IA
MBECJGJC_00247,CDS,291,,,,hypothetical protein,UW4-IA
MBECJGJC_00248,CDS,294,,,,hypothetical protein,UW4-IA
MBECJGJC_00249,CDS,195,,,,hypothetical protein,UW4-IA
MBECJGJC_00250,CDS,687,pal_1,,,Peptidoglycan-associated lipoprotein,UW4-IA
MBECJGJC_00251,CDS,429,,,,hypothetical protein,UW4-IA
MBECJGJC_00252,CDS,753,,,,hypothetical protein,UW4-IA
MBECJGJC_00253,CDS,9741,,,,hypothetical protein,UW4-IA
MBECJGJC_00254,CDS,3222,malT,,,HTH-type transcriptional regulator MalT,UW4-IA
MBECJGJC_00255,CDS,438,,,,hypothetical protein,UW4-IA
MBECJGJC_00256,CDS,231,,,,hypothetical protein,UW4-IA
MBECJGJC_00257,CDS,636,slmA,,,Nucleoid occlusion factor SlmA,UW4-IA
MBECJGJC_00258,CDS,606,,,,hypothetical protein,UW4-IA
MBECJGJC_00259,CDS,474,,,,hypothetical protein,UW4-IA
MBECJGJC_00260,CDS,1158,yjiB,1.14.-.-,COG2124,Putative cytochrome P450 YjiB,UW4-IA
MBECJGJC_00261,CDS,618,betI,,,HTH-type transcriptional regulator BetI,UW4-IA
MBECJGJC_00262,CDS,1284,acrA,,,Multidrug efflux pump subunit AcrA,UW4-IA
MBECJGJC_00263,CDS,3162,acrB,,COG0841,Multidrug efflux pump subunit AcrB,UW4-IA
MBECJGJC_00264,CDS,816,ygiD,1.13.11.29,COG3384,"4,5-DOPA dioxygenase extradiol",UW4-IA
MBECJGJC_00265,CDS,462,,,,hypothetical protein,UW4-IA
MBECJGJC_00266,CDS,900,dmlR_1,,,HTH-type transcriptional regulator DmlR,UW4-IA
MBECJGJC_00267,CDS,2730,ctpF_1,3.6.3.-,COG0474,putative cation-transporting ATPase F,UW4-IA
MBECJGJC_00268,CDS,606,,,,hypothetical protein,UW4-IA
MBECJGJC_00269,CDS,471,,,,hypothetical protein,UW4-IA
MBECJGJC_00270,CDS,468,,,,hypothetical protein,UW4-IA
MBECJGJC_00271,CDS,582,,,,hypothetical protein,UW4-IA
MBECJGJC_00272,CDS,501,,,,hypothetical protein,UW4-IA
MBECJGJC_00273,CDS,1350,ubiB_1,2.7.-.-,,protein kinase UbiB,UW4-IA
MBECJGJC_00274,CDS,360,,,,hypothetical protein,UW4-IA
MBECJGJC_00275,CDS,468,,,,hypothetical protein,UW4-IA
MBECJGJC_00276,CDS,741,fabG_1,1.1.1.100,,3-oxoacyl-[acyl-carrier-protein] reductase FabG,UW4-IA
MBECJGJC_00277,CDS,288,,,,hypothetical protein,UW4-IA
MBECJGJC_00278,CDS,1011,,1.6.3.5,COG3380,Renalase,UW4-IA
MBECJGJC_00279,CDS,507,,,,hypothetical protein,UW4-IA
MBECJGJC_00280,CDS,141,,,,hypothetical protein,UW4-IA
MBECJGJC_00281,CDS,1743,,,,hypothetical protein,UW4-IA
MBECJGJC_00282,CDS,1476,,,,hypothetical protein,UW4-IA
MBECJGJC_00283,CDS,1296,,,,hypothetical protein,UW4-IA
MBECJGJC_00284,CDS,789,,,,hypothetical protein,UW4-IA
MBECJGJC_00285,CDS,1227,,,,hypothetical protein,UW4-IA
MBECJGJC_00286,CDS,468,,,,hypothetical protein,UW4-IA
MBECJGJC_00287,CDS,603,,,,hypothetical protein,UW4-IA
MBECJGJC_00288,CDS,1539,,,,hypothetical protein,UW4-IA
MBECJGJC_00289,CDS,1203,epsF_1,,COG1459,Type II secretion system protein F,UW4-IA
MBECJGJC_00290,CDS,1251,epsE,,COG2804,Type II secretion system protein E,UW4-IA
MBECJGJC_00291,CDS,939,,,,hypothetical protein,UW4-IA
MBECJGJC_00292,CDS,1464,,,,hypothetical protein,UW4-IA
MBECJGJC_00293,CDS,2124,rep_1,3.6.4.12,,ATP-dependent DNA helicase Rep,UW4-IA
MBECJGJC_00294,CDS,303,,,,hypothetical protein,UW4-IA
MBECJGJC_00295,CDS,492,flhC,,,Flagellar transcriptional regulator FlhC,UW4-IA
MBECJGJC_00296,CDS,273,,,,hypothetical protein,UW4-IA
MBECJGJC_00297,CDS,645,,,,hypothetical protein,UW4-IA
MBECJGJC_00298,CDS,600,,,,hypothetical protein,UW4-IA
MBECJGJC_00299,CDS,807,,,,hypothetical protein,UW4-IA
MBECJGJC_00300,CDS,267,,,,hypothetical protein,UW4-IA
MBECJGJC_00301,CDS,1083,,,,hypothetical protein,UW4-IA
MBECJGJC_00302,CDS,1422,,,,hypothetical protein,UW4-IA
MBECJGJC_00303,CDS,597,,,,hypothetical protein,UW4-IA
MBECJGJC_00304,CDS,378,,,,hypothetical protein,UW4-IA
MBECJGJC_00305,CDS,498,ecfG,,,ECF RNA polymerase sigma factor EcfG,UW4-IA
MBECJGJC_00306,CDS,1713,ilvI,2.2.1.6,COG0028,Acetolactate synthase isozyme 3 large subunit,UW4-IA
MBECJGJC_00307,CDS,492,ilvH,2.2.1.6,COG0440,Acetolactate synthase isozyme 3 small subunit,UW4-IA
MBECJGJC_00308,CDS,1017,ilvC,1.1.1.86,COG0059,Ketol-acid reductoisomerase (NADP(+)),UW4-IA
MBECJGJC_00309,CDS,786,,,,hypothetical protein,UW4-IA
MBECJGJC_00310,CDS,1539,leuA_1,2.3.3.13,COG0119,2-isopropylmalate synthase,UW4-IA
MBECJGJC_00311,CDS,369,,,,hypothetical protein,UW4-IA
