locus_tag	ftype	length_bp	gene	EC_number	COG	product
BIPKCHJG_00114	CDS	771	yisK_1		COG0179	putative protein YisK
BIPKCHJG_00114	gene	771	yisK_1			
BIPKCHJG_00115	CDS	855				hypothetical protein
BIPKCHJG_00115	gene	855				
BIPKCHJG_00116	CDS	747				hypothetical protein
BIPKCHJG_00116	gene	747				
BIPKCHJG_00117	CDS	1170	rtcB	6.5.1.-	COG1690	RNA-splicing ligase RtcB
BIPKCHJG_00117	gene	1170	rtcB			
BIPKCHJG_00118	CDS	1593	cimA	2.3.1.182	COG0119	(R)-citramalate synthase
BIPKCHJG_00118	gene	1593	cimA			
BIPKCHJG_00119	CDS	1098	ilvE	2.6.1.42	COG0115	Branched-chain-amino-acid aminotransferase
BIPKCHJG_00119	gene	1098	ilvE			
BIPKCHJG_00120	CDS	471				hypothetical protein
BIPKCHJG_00120	gene	471				
BIPKCHJG_00121	CDS	774		2.4.2.-	COG2071	Putative glutamine amidotransferase
BIPKCHJG_00121	gene	774				
BIPKCHJG_00122	CDS	777	bacC	1.1.1.385		Dihydroanticapsin 7-dehydrogenase
BIPKCHJG_00122	gene	777	bacC			
BIPKCHJG_00123	CDS	1389	feaB	1.2.1.39	COG1012	Phenylacetaldehyde dehydrogenase
BIPKCHJG_00123	gene	1389	feaB			
BIPKCHJG_00124	CDS	1371	ipuC	6.3.2.-		Glutamate--isopropylamine ligase
BIPKCHJG_00124	gene	1371	ipuC			
BIPKCHJG_00125	CDS	786	lldR		COG2186	Putative L-lactate dehydrogenase operon regulatory protein
BIPKCHJG_00125	gene	786	lldR			
BIPKCHJG_00126	CDS	1983	abo_1	1.5.3.19		4-methylaminobutanoate oxidase (formaldehyde-forming)
BIPKCHJG_00126	gene	1983	abo_1			
BIPKCHJG_00127	CDS	519	abo_2	1.5.3.19		4-methylaminobutanoate oxidase (formaldehyde-forming)
BIPKCHJG_00127	gene	519	abo_2			
BIPKCHJG_00128	CDS	783				hypothetical protein
BIPKCHJG_00128	gene	783				
BIPKCHJG_00129	CDS	1452				hypothetical protein
BIPKCHJG_00129	gene	1452				
BIPKCHJG_00130	CDS	1050	leuB	1.1.1.85	COG0473	3-isopropylmalate dehydrogenase
BIPKCHJG_00130	gene	1050	leuB			
BIPKCHJG_00131	CDS	357	yurK		COG2188	putative HTH-type transcriptional regulator YurK
BIPKCHJG_00131	gene	357	yurK			
BIPKCHJG_00132	CDS	891	ytrB		COG1131	ABC transporter ATP-binding protein YtrB
BIPKCHJG_00132	gene	891	ytrB			
BIPKCHJG_00133	CDS	717				hypothetical protein
BIPKCHJG_00133	gene	717				
BIPKCHJG_00134	CDS	1590	serA	1.1.1.95	COG0111	D-3-phosphoglycerate dehydrogenase
BIPKCHJG_00134	gene	1590	serA			
BIPKCHJG_00135	CDS	525				hypothetical protein
BIPKCHJG_00135	gene	525				
BIPKCHJG_00136	CDS	723				hypothetical protein
BIPKCHJG_00136	gene	723				
BIPKCHJG_00137	CDS	1500	phnA	3.11.1.2		Phosphonoacetate hydrolase
BIPKCHJG_00137	gene	1500	phnA			
BIPKCHJG_00138	CDS	384	whiB7			putative transcriptional regulator WhiB7
BIPKCHJG_00138	gene	384	whiB7			
BIPKCHJG_00139	CDS	171				hypothetical protein
BIPKCHJG_00139	gene	171				
BIPKCHJG_00140	CDS	2184	uvrD2	3.6.4.12	COG0210	ATP-dependent DNA helicase UvrD2
BIPKCHJG_00140	gene	2184	uvrD2			
BIPKCHJG_00141	CDS	258		1.-.-.-	COG0695	Putative glutaredoxin.1
BIPKCHJG_00141	gene	258				
BIPKCHJG_00142	CDS	909				hypothetical protein
BIPKCHJG_00142	gene	909				
BIPKCHJG_00143	CDS	921	nudC	3.6.1.22	COG2816	NADH pyrophosphatase
BIPKCHJG_00143	gene	921	nudC			
BIPKCHJG_00144	CDS	1821	hbd	1.1.1.157	COG1250	3-hydroxybutyryl-CoA dehydrogenase
BIPKCHJG_00144	gene	1821	hbd			
BIPKCHJG_00145	CDS	216				hypothetical protein
BIPKCHJG_00145	gene	216				
BIPKCHJG_00146	CDS	801				hypothetical protein
BIPKCHJG_00146	gene	801				
BIPKCHJG_00147	CDS	897	yxlF_1	3.6.3.-	COG1131	putative ABC transporter ATP-binding protein YxlF
BIPKCHJG_00147	gene	897	yxlF_1			
BIPKCHJG_00148	CDS	1305	liaS_1	2.7.13.3	COG4585	Sensor histidine kinase LiaS
BIPKCHJG_00148	gene	1305	liaS_1			
BIPKCHJG_00149	CDS	690	liaR_1		COG2197	Transcriptional regulatory protein LiaR
BIPKCHJG_00149	gene	690	liaR_1			
BIPKCHJG_00150	CDS	696	nucS_1	3.1.-.-	COG1637	Endonuclease NucS
BIPKCHJG_00150	gene	696	nucS_1			
BIPKCHJG_00151	CDS	606	pspB	3.1.3.3	COG0406	Putative phosphoserine phosphatase 2
BIPKCHJG_00151	gene	606	pspB			
BIPKCHJG_00152	CDS	2034	scpA_1	5.4.99.2	COG1884	Methylmalonyl-CoA mutase
BIPKCHJG_00152	gene	2034	scpA_1			
BIPKCHJG_00153	CDS	348	rsbV_1		COG1366	Anti-sigma-B factor antagonist
BIPKCHJG_00153	gene	348	rsbV_1			
BIPKCHJG_00154	CDS	663		2.5.1.17	COG2096	Cob(I)yrinic acid a,c-diamide adenosyltransferase
BIPKCHJG_00154	gene	663				
BIPKCHJG_00155	CDS	432				hypothetical protein
BIPKCHJG_00155	gene	432				
BIPKCHJG_00156	CDS	270	atpC		COG0355	ATP synthase epsilon chain
BIPKCHJG_00156	gene	270	atpC			
BIPKCHJG_00157	CDS	1458	atpD	3.6.3.14		ATP synthase subunit beta
BIPKCHJG_00157	gene	1458	atpD			
BIPKCHJG_00158	CDS	903	atpG			ATP synthase gamma chain
BIPKCHJG_00158	gene	903	atpG			
BIPKCHJG_00159	CDS	1635	atpA	3.6.3.14		ATP synthase subunit alpha
BIPKCHJG_00159	gene	1635	atpA			
BIPKCHJG_00160	CDS	810	atpH			ATP synthase subunit delta
BIPKCHJG_00160	gene	810	atpH			
BIPKCHJG_00161	CDS	603	atpF		COG0711	ATP synthase subunit b
BIPKCHJG_00161	gene	603	atpF			
BIPKCHJG_00162	CDS	207	atpE		COG0636	ATP synthase subunit c
BIPKCHJG_00162	gene	207	atpE			
BIPKCHJG_00163	CDS	816	atpB		COG0356	ATP synthase subunit a
BIPKCHJG_00163	gene	816	atpB			
BIPKCHJG_00164	CDS	243				hypothetical protein
BIPKCHJG_00164	gene	243				
BIPKCHJG_00165	CDS	483				hypothetical protein
BIPKCHJG_00165	gene	483				
BIPKCHJG_00166	CDS	1122	wecA	2.7.8.35	COG0472	Decaprenyl-phosphate N-acetylglucosaminephosphotransferase
BIPKCHJG_00166	gene	1122	wecA			
BIPKCHJG_00167	CDS	1269	glyA	2.1.2.1	COG0112	Serine hydroxymethyltransferase
BIPKCHJG_00167	gene	1269	glyA			
BIPKCHJG_00168	CDS	711		2.7.7.87	COG0009	Putative threonylcarbamoyl-AMP synthase
BIPKCHJG_00168	gene	711				
BIPKCHJG_00169	CDS	129				hypothetical protein
BIPKCHJG_00169	gene	129				
BIPKCHJG_00170	CDS	420				hypothetical protein
BIPKCHJG_00170	gene	420				
BIPKCHJG_00171	CDS	867	prmC	2.1.1.297	COG2890	Release factor glutamine methyltransferase
BIPKCHJG_00171	gene	867	prmC			
BIPKCHJG_00172	CDS	1077	prfA		COG0216	Peptide chain release factor 1
BIPKCHJG_00172	gene	1077	prfA			
BIPKCHJG_00173	CDS	216	rpmE		COG0254	50S ribosomal protein L31
BIPKCHJG_00173	gene	216	rpmE			
BIPKCHJG_00174	CDS	600				hypothetical protein
BIPKCHJG_00174	gene	600				
BIPKCHJG_00175	CDS	2067	rho	3.6.4.-		Transcription termination factor Rho
BIPKCHJG_00175	gene	2067	rho			
BIPKCHJG_00176	CDS	969	thrB	2.7.1.39	COG0083	Homoserine kinase
BIPKCHJG_00176	gene	969	thrB			
BIPKCHJG_00177	CDS	1098	thrC	4.2.3.1	COG0498	Threonine synthase
BIPKCHJG_00177	gene	1098	thrC			
BIPKCHJG_00178	CDS	1338	hom	1.1.1.3	COG0460	Homoserine dehydrogenase
BIPKCHJG_00178	gene	1338	hom			
BIPKCHJG_00179	CDS	1437	lysA	4.1.1.20	COG0019	Diaminopimelate decarboxylase
BIPKCHJG_00179	gene	1437	lysA			
BIPKCHJG_00180	CDS	1647	argS	6.1.1.19	COG0018	Arginine--tRNA ligase
BIPKCHJG_00180	gene	1647	argS			
BIPKCHJG_00181	tRNA	75				tRNA-Arg(ccg)
BIPKCHJG_00181	gene	75				
BIPKCHJG_00182	CDS	1035			COG1253	putative protein
BIPKCHJG_00182	gene	1035				
BIPKCHJG_00183	CDS	1344				hypothetical protein
BIPKCHJG_00183	gene	1344				
BIPKCHJG_00184	CDS	972	yxlF_2	3.6.3.-	COG1131	putative ABC transporter ATP-binding protein YxlF
BIPKCHJG_00184	gene	972	yxlF_2			
BIPKCHJG_00185	CDS	837				hypothetical protein
BIPKCHJG_00185	gene	837				
BIPKCHJG_00186	CDS	3855	kgd	2.2.1.5	COG0508	Multifunctional 2-oxoglutarate metabolism enzyme
BIPKCHJG_00186	gene	3855	kgd			
BIPKCHJG_00187	CDS	186				hypothetical protein
BIPKCHJG_00187	gene	186				
BIPKCHJG_00188	CDS	567	ywle	3.9.1.2		Protein-arginine-phosphatase
BIPKCHJG_00188	gene	567	ywle			
BIPKCHJG_00189	CDS	366	algA_1		COG0662	Alginate biosynthesis protein AlgA
BIPKCHJG_00189	gene	366	algA_1			
BIPKCHJG_00190	CDS	1194		1.1.1.38		NAD-dependent malic enzyme
BIPKCHJG_00190	gene	1194				
BIPKCHJG_00191	CDS	306				hypothetical protein
BIPKCHJG_00191	gene	306				
BIPKCHJG_00192	CDS	399	sodN	1.15.1.1		Superoxide dismutase [Ni]
BIPKCHJG_00192	gene	399	sodN			
BIPKCHJG_00193	CDS	1278		3.1.4.-	COG2206	Cyclic di-GMP phosphodiesterase
BIPKCHJG_00193	gene	1278				
BIPKCHJG_00194	CDS	1299				hypothetical protein
BIPKCHJG_00194	gene	1299				
BIPKCHJG_00195	CDS	231				hypothetical protein
BIPKCHJG_00195	gene	231				
BIPKCHJG_00196	CDS	264	rsrA			Anti-sigma factor RsrA
BIPKCHJG_00196	gene	264	rsrA			
BIPKCHJG_00197	CDS	702	sigR		COG1595	ECF RNA polymerase sigma factor SigR
BIPKCHJG_00197	gene	702	sigR			
BIPKCHJG_00198	CDS	2112	malQ	2.4.1.25	COG1640	4-alpha-glucanotransferase
BIPKCHJG_00198	gene	2112	malQ			
BIPKCHJG_00199	CDS	714				hypothetical protein
BIPKCHJG_00199	gene	714				
BIPKCHJG_00200	CDS	1134	oppF_1		COG4608	Oligopeptide transport ATP-binding protein OppF
BIPKCHJG_00200	gene	1134	oppF_1			
BIPKCHJG_00201	CDS	1035	oppD_1		COG0444	Oligopeptide transport ATP-binding protein OppD
BIPKCHJG_00201	gene	1035	oppD_1			
BIPKCHJG_00202	CDS	981	gsiD		COG1173	Glutathione transport system permease protein GsiD
BIPKCHJG_00202	gene	981	gsiD			
BIPKCHJG_00203	CDS	1008	dppB_1		COG0601	Dipeptide transport system permease protein DppB
BIPKCHJG_00203	gene	1008	dppB_1			
BIPKCHJG_00204	CDS	1695	dppA		COG0747	Periplasmic dipeptide transport protein
BIPKCHJG_00204	gene	1695	dppA			
BIPKCHJG_00205	CDS	570	pgpB	3.1.3.27	COG0671	Phosphatidylglycerophosphatase B
BIPKCHJG_00205	gene	570	pgpB			
BIPKCHJG_00206	CDS	1230			COG4962	Putative conjugal transfer protein
BIPKCHJG_00206	gene	1230				
BIPKCHJG_00207	CDS	873				hypothetical protein
BIPKCHJG_00207	gene	873				
BIPKCHJG_00208	CDS	951				hypothetical protein
BIPKCHJG_00208	gene	951				
BIPKCHJG_00209	CDS	216				hypothetical protein
BIPKCHJG_00209	gene	216				
BIPKCHJG_00210	CDS	408				hypothetical protein
BIPKCHJG_00210	gene	408				
BIPKCHJG_00211	CDS	462				hypothetical protein
BIPKCHJG_00211	gene	462				
BIPKCHJG_00212	CDS	492				hypothetical protein
BIPKCHJG_00212	gene	492				
BIPKCHJG_00213	CDS	276				hypothetical protein
BIPKCHJG_00213	gene	276				
BIPKCHJG_00214	CDS	435				hypothetical protein
BIPKCHJG_00214	gene	435				
BIPKCHJG_00215	CDS	342				hypothetical protein
BIPKCHJG_00215	gene	342				
BIPKCHJG_00216	CDS	297				hypothetical protein
BIPKCHJG_00216	gene	297				
BIPKCHJG_00217	CDS	345				hypothetical protein
BIPKCHJG_00217	gene	345				
BIPKCHJG_00218	CDS	690	ytcD_1		COG1733	putative HTH-type transcriptional regulator YtcD
BIPKCHJG_00218	gene	690	ytcD_1			
BIPKCHJG_00219	CDS	1038	vgb_1	4.2.99.-		Virginiamycin B lyase
BIPKCHJG_00219	gene	1038	vgb_1			
BIPKCHJG_00220	CDS	549				hypothetical protein
BIPKCHJG_00220	gene	549				
BIPKCHJG_00221	CDS	543				hypothetical protein
BIPKCHJG_00221	gene	543				
BIPKCHJG_00222	CDS	333				hypothetical protein
BIPKCHJG_00222	gene	333				
BIPKCHJG_00223	CDS	216				hypothetical protein
BIPKCHJG_00223	gene	216				
BIPKCHJG_00224	CDS	1050				hypothetical protein
BIPKCHJG_00224	gene	1050				
BIPKCHJG_00225	CDS	201				hypothetical protein
BIPKCHJG_00225	gene	201				
BIPKCHJG_00226	CDS	498				hypothetical protein
BIPKCHJG_00226	gene	498				
BIPKCHJG_00227	CDS	516				hypothetical protein
BIPKCHJG_00227	gene	516				
BIPKCHJG_00228	CDS	702	proA_1	4.1.3.16		4-hydroxy-4-methyl-2-oxoglutarate aldolase/4-carboxy-4-hydroxy-2-oxoadipate aldolase
BIPKCHJG_00228	gene	702	proA_1			
BIPKCHJG_00229	CDS	1188	lysN_1	2.6.1.39	COG1167	2-aminoadipate transaminase
BIPKCHJG_00229	gene	1188	lysN_1			
