source,target_id,length,eff_length,est_counts,tpm,ftype,length_bp,gene,product,bin
ana_1045,POCFKNDN_00728,2583,2431.68,2816.42,56.2287,CDS,2583,cphA_2,Cyanophycin synthetase,UW6-IIC
aer_1455,EEIKLKKP_00661,2121,1981.77,2,0.0567152,CDS,2121,ppk,Polyphosphate kinase,UW7-IIF
aer_1455,FCNOHOGK_01031,2121,1981.77,55.0448,1.56094,CDS,2121,ppk,Polyphosphate kinase,UW5-IIA
aer_1455,MBECJGJC_00378,2121,1981.77,1174.96,33.3189,CDS,2121,ppk,Polyphosphate kinase,UW4-IA
aer_1455,POCFKNDN_02327,1875,1735.77,3333,107.911,CDS,1875,ppk,Polyphosphate kinase,UW6-IIC
aer_1355,EEIKLKKP_00661,2121,1971.91,4,0.0727551,CDS,2121,ppk,Polyphosphate kinase,UW7-IIF
aer_1355,FCNOHOGK_01031,2121,1971.91,85.0519,1.54699,CDS,2121,ppk,Polyphosphate kinase,UW5-IIA
aer_1355,MBECJGJC_00378,2121,1971.91,1554.95,28.2826,CDS,2121,ppk,Polyphosphate kinase,UW4-IA
aer_1355,POCFKNDN_02327,1875,1725.91,6320,131.338,CDS,1875,ppk,Polyphosphate kinase,UW6-IIC
aer_1315,EEIKLKKP_00661,2121,1975.75,5,0.0916008,CDS,2121,ppk,Polyphosphate kinase,UW7-IIF
aer_1315,FCNOHOGK_01031,2121,1975.75,58,1.06257,CDS,2121,ppk,Polyphosphate kinase,UW5-IIA
aer_1315,MBECJGJC_00378,2121,1975.75,2270,41.5867,CDS,2121,ppk,Polyphosphate kinase,UW4-IA
aer_1315,POCFKNDN_02327,1875,1729.75,4856,101.615,CDS,1875,ppk,Polyphosphate kinase,UW6-IIC
aer_1240,EEIKLKKP_00661,2121,1973.27,3,0.0416599,CDS,2121,ppk,Polyphosphate kinase,UW7-IIF
aer_1240,FCNOHOGK_01031,2121,1973.27,128,1.77749,CDS,2121,ppk,Polyphosphate kinase,UW5-IIA
aer_1240,MBECJGJC_00378,2121,1973.27,5688,78.9872,CDS,2121,ppk,Polyphosphate kinase,UW4-IA
aer_1240,POCFKNDN_02327,1875,1727.27,8211,130.263,CDS,1875,ppk,Polyphosphate kinase,UW6-IIC
ana_1155,EEIKLKKP_00661,2121,1968.51,2,0.0366277,CDS,2121,ppk,Polyphosphate kinase,UW7-IIF
ana_1155,FCNOHOGK_01031,2121,1968.51,169,3.09504,CDS,2121,ppk,Polyphosphate kinase,UW5-IIA
ana_1155,MBECJGJC_00378,2121,1968.51,3517,64.4098,CDS,2121,ppk,Polyphosphate kinase,UW4-IA
ana_1155,POCFKNDN_02327,1875,1722.51,5423,113.5,CDS,1875,ppk,Polyphosphate kinase,UW6-IIC
ana_1116,EEIKLKKP_00661,2121,1967.74,3,0.0571376,CDS,2121,ppk,Polyphosphate kinase,UW7-IIF
ana_1116,FCNOHOGK_01031,2121,1967.74,190,3.61871,CDS,2121,ppk,Polyphosphate kinase,UW5-IIA
ana_1116,MBECJGJC_00378,2121,1967.74,3162,60.223,CDS,2121,ppk,Polyphosphate kinase,UW4-IA
ana_1116,POCFKNDN_02327,1875,1721.74,6280,136.697,CDS,1875,ppk,Polyphosphate kinase,UW6-IIC
ana_1045,EEIKLKKP_00661,2121,1969.68,0,0,CDS,2121,ppk,Polyphosphate kinase,UW7-IIF
ana_1045,FCNOHOGK_01031,2121,1969.68,69,1.70067,CDS,2121,ppk,Polyphosphate kinase,UW5-IIA
ana_1045,MBECJGJC_00378,2121,1969.68,2003,49.3686,CDS,2121,ppk,Polyphosphate kinase,UW4-IA
ana_1045,POCFKNDN_02327,1875,1723.68,4658,131.192,CDS,1875,ppk,Polyphosphate kinase,UW6-IIC
