target_id	length	eff_length	est_counts	tpm
POCFKNDN_00123	468	322.819	170	19.0612
POCFKNDN_00124	117	17.292	317	663.552
POCFKNDN_00125	939	793.75	1376	62.7474
POCFKNDN_00126	291	148.001	173	42.3099
POCFKNDN_00127	309	165.331	92	20.1417
POCFKNDN_00128	924	778.75	41	1.90567
POCFKNDN_00129	783	637.75	86	4.881
POCFKNDN_00130	732	586.75	46	2.8377
POCFKNDN_00131	693	547.75	99	6.54205
POCFKNDN_00132	792	646.75	232	12.9841
POCFKNDN_00133	222	84.9787	6	2.55565
POCFKNDN_00134	1881	1735.75	7	0.145973
POCFKNDN_00135	402	257.047	1	0.140815
POCFKNDN_00136	1056	910.75	13	0.516661
POCFKNDN_00137	1176	1030.75	2	0.0702324
POCFKNDN_00138	3585	3439.75	12	0.126274
POCFKNDN_00139	384	239.171	0	0
POCFKNDN_00140	204	70.2224	0	0
POCFKNDN_00141	3075	2929.75	14	0.172965
POCFKNDN_00142	759	613.75	10	0.589752
POCFKNDN_00143	441	295.88	0	0
POCFKNDN_00144	987	841.75	219.491	9.4383
POCFKNDN_00145	930	784.75	61	2.81358
POCFKNDN_00146	1056	910.75	0	0
POCFKNDN_00147	1404	1258.75	0	0
POCFKNDN_00148	963	817.75	4888	216.357
POCFKNDN_00149	1179	1033.75	146	5.11209
POCFKNDN_00150	1185	1039.75	590	20.5392
POCFKNDN_00151	2970	2824.75	719	9.21319
POCFKNDN_00152	1815	1669.75	526	11.4024
POCFKNDN_00153	3366	3220.75	218	2.44997
POCFKNDN_00154	747	601.75	19	1.14287
POCFKNDN_00155	4248	4102.75	33.3567	0.294285
POCFKNDN_00156	201	67.8527	1	0.53345
POCFKNDN_00157	1224	1078.75	4343	145.724
POCFKNDN_00158	726	580.75	2393	149.147
POCFKNDN_00159	219	82.4076	392	172.179
POCFKNDN_00160	423	277.967	107	13.9332
POCFKNDN_00161	1014	868.75	92	3.83314
POCFKNDN_00162	312	168.264	54	11.6162
POCFKNDN_00163	882	736.75	39	1.91604
POCFKNDN_00164	138	26.4043	0	0
POCFKNDN_00165	1758	1612.75	0	0
POCFKNDN_00166	1467	1321.75	0	0
POCFKNDN_00167	1011	865.75	0	0
POCFKNDN_00168	1233	1087.75	0	0
POCFKNDN_00169	963	817.75	0	0
POCFKNDN_00170	1314	1168.75	0	0
POCFKNDN_00171	1047	901.75	0	0
POCFKNDN_00172	912	766.75	0	0
POCFKNDN_00173	1971	1825.75	1	0.0198253
POCFKNDN_00174	1101	955.75	0	0
POCFKNDN_00175	951	805.75	0	0
POCFKNDN_00176	1599	1453.75	0	0
POCFKNDN_00177	1899	1753.75	0	0
POCFKNDN_00178	894	748.75	0	0
POCFKNDN_00179	771	625.75	136	7.86682
POCFKNDN_00180	399	254.098	137	19.5155
POCFKNDN_00181	1749	1603.75	866	19.5453
POCFKNDN_00182	618	472.75	662.86	50.7518
POCFKNDN_00183	498	352.786	81	8.31064
POCFKNDN_00184	462	316.819	235	26.8483
POCFKNDN_00185	369	224.264	87	14.0418
POCFKNDN_00186	312	168.264	897	192.958
POCFKNDN_00187	2904	2758.75	4897	64.2508
POCFKNDN_00188	591	445.75	134.14	10.8925
POCFKNDN_00189	876	730.75	1015.35	50.2931
POCFKNDN_00190	447	301.85	62	7.43466
POCFKNDN_00191	171	46.0127	769	604.936
POCFKNDN_00192	1197	1051.75	180	6.19471
POCFKNDN_00193	243	103.263	398	139.508
POCFKNDN_00194	576	430.75	569	47.8132
POCFKNDN_00195	456	310.819	1119	130.312
POCFKNDN_00196	306	162.512	291	64.8141
POCFKNDN_00197	606	460.75	770	60.4904
POCFKNDN_00198	750	604.75	424	25.3776
POCFKNDN_00199	1083	937.75	476	18.373
POCFKNDN_00200	258	116.873	338	104.68
POCFKNDN_00201	1980	1834.75	1276	25.173
POCFKNDN_00202	510	364.786	399	39.5909
POCFKNDN_00203	795	649.75	64	3.56529
POCFKNDN_00204	855	709.75	48	2.44792
POCFKNDN_00205	1161	1015.75	105	3.74165
POCFKNDN_00206	2136	1990.75	75	1.36366
POCFKNDN_00207	288	145.149	9	2.24435
POCFKNDN_00208	690	544.75	192	12.7575
POCFKNDN_00209	273	130.945	12	3.31706
POCFKNDN_00210	1113	967.75	113	4.22646
POCFKNDN_00211	720	574.75	102	6.42366
POCFKNDN_00212	300	156.785	66	15.237
POCFKNDN_00213	375	230.218	15	2.35838
POCFKNDN_00214	2577	2431.75	153	2.27737
POCFKNDN_00215	2838	2692.75	324	4.35522
POCFKNDN_00216	2361	2215.75	391	6.3873
POCFKNDN_00217	3747	3601.75	1545	15.5266
POCFKNDN_00218	624	478.75	138	10.4335
POCFKNDN_00219	1002	856.75	1127	47.6136
POCFKNDN_00220	309	165.331	269	58.8924
POCFKNDN_00221	747	601.75	383	23.038
POCFKNDN_00222	903	757.75	660	31.5267
POCFKNDN_00223	570	424.75	1712	145.892
POCFKNDN_00224	114	16.2414	20	44.5725
POCFKNDN_00225	1377	1231.75	5387	158.302
POCFKNDN_00226	1371	1225.75	264	7.79584
POCFKNDN_00227	1683	1537.75	2234	52.5846
POCFKNDN_00228	1377	1231.75	4806	141.228
POCFKNDN_00229	1131	985.75	2338	85.8497
POCFKNDN_00230	2469	2323.75	4722	73.5525
POCFKNDN_00231	813	667.75	793	42.9853
POCFKNDN_00232	645	499.75	296	21.4388
POCFKNDN_00233	825	679.75	167	8.89259
POCFKNDN_00234	99	11.7347	1	3.08454
POCFKNDN_00235	921	775.75	6	0.279957
POCFKNDN_00236	747	601.75	3	0.180454
POCFKNDN_00237	225	87.4393	21	8.69308
POCFKNDN_00238	960	814.75	34	1.51048
POCFKNDN_00239	387	242.147	14	2.09271
POCFKNDN_00240	288	145.149	4	0.997488
POCFKNDN_00241	519	373.75	0	0
POCFKNDN_00242	519	373.75	511	49.4881
POCFKNDN_00243	1959	1813.75	491	9.79862
POCFKNDN_00244	453	307.85	50	5.87884
POCFKNDN_00245	3681	3535.75	12	0.122846
POCFKNDN_00246	300	156.785	0	0
POCFKNDN_00247	204	70.2224	1	0.515448
POCFKNDN_00248	378	233.195	0	0
POCFKNDN_00249	735	589.75	0	0
POCFKNDN_00250	522	376.75	0	0
POCFKNDN_00251	693	547.75	0	0
POCFKNDN_00252	501	355.786	0	0
POCFKNDN_00253	870	724.75	48	2.39725
POCFKNDN_00254	405	260.047	5	0.695952
POCFKNDN_00255	285	142.322	36	9.15567
POCFKNDN_00256	1053	907.75	116	4.62544
POCFKNDN_00257	1497	1351.75	2388	63.9439
POCFKNDN_00258	1608	1462.75	82	2.02911
POCFKNDN_00259	876	730.75	1	0.0495327
POCFKNDN_00260	492	346.786	0	0
POCFKNDN_00261	279	136.675	0	0
POCFKNDN_00262	1533	1387.75	1	0.0260825
POCFKNDN_00263	1476	1330.75	0	0
POCFKNDN_00264	192	60.9977	73	43.3182
POCFKNDN_00265	1560	1414.75	2	0.0511695
POCFKNDN_00266	618	472.75	0	0
POCFKNDN_00267	546	400.75	0	0
POCFKNDN_00268	1527	1381.75	0	0
POCFKNDN_00269	1083	937.75	0	0
POCFKNDN_00270	630	484.75	0	0
POCFKNDN_00271	675	529.75	0	0
POCFKNDN_00272	282	139.479	0	0
POCFKNDN_00273	105	13.1624	0	0
POCFKNDN_00274	1815	1669.75	0	0
POCFKNDN_00275	246	106.003	0	0
POCFKNDN_00276	630	484.75	4	0.298678
POCFKNDN_00277	675	529.75	2	0.136653
POCFKNDN_00278	279	136.675	10	2.64833
POCFKNDN_00279	249	108.705	16	5.32762
POCFKNDN_00280	1314	1168.75	137	4.24287
POCFKNDN_00281	582	436.75	33	2.7349
POCFKNDN_00282	1101	955.75	282	10.6799
POCFKNDN_00283	861	715.75	11	0.556279
POCFKNDN_00284	462	316.819	0	0
POCFKNDN_00285	315	171.23	0	0
POCFKNDN_00286	528	382.75	0	0
POCFKNDN_00287	1125	979.75	3	0.110832
POCFKNDN_00288	1071	925.75	4	0.156397
POCFKNDN_00289	672	526.75	5	0.343579
POCFKNDN_00290	741	595.75	7	0.4253
POCFKNDN_00291	306	162.512	1	0.222729
POCFKNDN_00292	1425	1279.75	6	0.169702
POCFKNDN_00293	1407	1261.75	4	0.114749
POCFKNDN_00294	420	274.967	0	0
POCFKNDN_00295	438	292.909	1	0.123574
POCFKNDN_00296	486	340.786	7	0.743493
POCFKNDN_00297	210	75.0227	3	1.4474
POCFKNDN_00298	297	153.895	10	2.352
POCFKNDN_00299	327	182.926	13	2.57234
POCFKNDN_00300	885	739.75	50	2.44651
POCFKNDN_00301	297	153.895	4	0.9408
POCFKNDN_00302	303	159.641	6	1.3604
POCFKNDN_00303	363	218.374	143	23.7026
POCFKNDN_00304	216	79.8069	12	5.44254
POCFKNDN_00305	1164	1018.75	165	5.86243
POCFKNDN_00306	792	646.75	459	25.6884
POCFKNDN_00307	654	508.75	87	6.18979
POCFKNDN_00308	792	646.75	126	7.05172
POCFKNDN_00309	141	27.9317	307	397.835
POCFKNDN_00310	732	586.75	526	32.4484
POCFKNDN_00311	897	751.75	131	6.30753
POCFKNDN_00312	1473	1327.75	78	2.12637
POCFKNDN_00313	1140	994.75	33	1.20077
POCFKNDN_00314	990	844.75	72	3.08507
POCFKNDN_00315	1308	1162.75	56	1.74326
POCFKNDN_00316	789	643.75	384	21.5911
POCFKNDN_00317	717	571.75	76	4.81137
POCFKNDN_00318	396	251.098	181	26.0913
POCFKNDN_00319	1725	1579.75	125	2.86406
POCFKNDN_00320	876	730.75	245	12.1355
POCFKNDN_00321	987	841.75	402	17.2864
POCFKNDN_00322	696	550.75	196	12.8814
POCFKNDN_00323	780	634.75	226	12.8874
POCFKNDN_00324	1725	1579.75	604	13.8392
POCFKNDN_00325	1560	1414.75	1190	30.4459
POCFKNDN_00326	564	418.75	11965	1034.23
POCFKNDN_00327	1923	1777.75	2320	47.2366
POCFKNDN_00328	636	490.75	792	58.4152
POCFKNDN_00329	813	667.75	701	37.9984
POCFKNDN_00330	843	697.75	976	50.6304
POCFKNDN_00331	357	212.438	4280.98	729.409
POCFKNDN_00332	771	625.75	4085	236.294
POCFKNDN_00333	270	128.09	2436	688.374
POCFKNDN_00334	471	325.819	4495	499.36
POCFKNDN_00335	537	391.75	3393.35	313.531
POCFKNDN_00336	1539	1393.75	19054.3	494.844
POCFKNDN_00337	864	718.75	10412.1	524.351
POCFKNDN_00338	1401	1255.75	18489	532.931
POCFKNDN_00339	423	277.967	4022	523.733
POCFKNDN_00340	606	460.75	2016	158.375
POCFKNDN_00341	873	727.75	1208	60.0822
POCFKNDN_00342	840	694.75	1882	98.051
POCFKNDN_00343	459	313.819	1452	167.474
POCFKNDN_00344	1611	1465.75	1159	28.621
POCFKNDN_00345	432	286.938	307	38.7268
POCFKNDN_00346	3876	3730.75	884	8.57664
POCFKNDN_00347	1632	1486.75	2127	51.7834
POCFKNDN_00348	939	793.75	651	29.6865
POCFKNDN_00349	1182	1036.75	308	10.7532
POCFKNDN_00350	927	781.75	874	40.4673
POCFKNDN_00351	1014	868.75	395	16.4575
POCFKNDN_00352	2082	1936.75	860	16.0726
POCFKNDN_00353	1029	883.75	230	9.42019
POCFKNDN_00354	624	478.75	276	20.8671
POCFKNDN_00355	1335	1189.75	647	19.6838
POCFKNDN_00356	975	829.75	297	12.956
POCFKNDN_00357	2190	2044.75	426	7.54103
POCFKNDN_00358	843	697.75	1020	52.9129
POCFKNDN_00359	660	514.75	107	7.524
POCFKNDN_00360	1944	1798.75	487	9.79985
POCFKNDN_00361	966	820.75	1632	71.9731
POCFKNDN_00362	1224	1078.75	269	9.02594
POCFKNDN_00363	1422	1276.75	2307.09	65.4064
POCFKNDN_00364	2208	2062.75	1340	23.5136
POCFKNDN_00365	1491	1345.75	70	1.88276
POCFKNDN_00366	684	538.75	81	5.442
POCFKNDN_00367	540	394.75	81	7.42718
POCFKNDN_00368	1392	1246.75	203	5.89356
POCFKNDN_00369	4425	4279.75	392	3.31534
POCFKNDN_00370	405	260.047	42	5.84599
POCFKNDN_00371	237	97.8989	15	5.54593
POCFKNDN_00372	2946	2800.75	126	1.62839
POCFKNDN_00373	5322	5176.75	821	5.74046
POCFKNDN_00374	1455	1309.75	768.573	21.2402
POCFKNDN_00375	1368	1222.75	284	8.40701
POCFKNDN_00376	1089	943.75	157	6.02149
POCFKNDN_00377	1170	1024.75	769	27.1625
POCFKNDN_00378	420	274.967	31	4.08077
POCFKNDN_00379	3006	2860.75	4733	59.8849
POCFKNDN_00380	2373	2227.75	1621	26.3377
POCFKNDN_00381	420	274.967	630	82.9319
POCFKNDN_00382	1308	1162.75	917	28.5459
POCFKNDN_00383	513	367.75	1431	140.847
POCFKNDN_00384	1236	1090.75	839	27.8418
POCFKNDN_00385	1572	1426.75	483	12.2535
POCFKNDN_00386	672	526.75	140	9.62021
POCFKNDN_00387	525	379.75	233	22.2085
POCFKNDN_00388	1452	1306.75	474	13.1295
POCFKNDN_00389	363	218.374	189	31.3272
POCFKNDN_00390	198	65.6427	128	70.5804
POCFKNDN_00391	906	760.75	7202	342.667
POCFKNDN_00392	1050	904.75	2697	107.898
POCFKNDN_00393	450	304.85	687	81.5701
POCFKNDN_00394	1164	1018.75	1162	41.2857
POCFKNDN_00395	1143	997.75	1626.87	59.0192
POCFKNDN_00396	945	799.75	272	12.3105
POCFKNDN_00397	1137	991.75	942	34.3803
POCFKNDN_00398	315	171.23	1888	399.101
POCFKNDN_00399	648	502.75	71	5.11172
POCFKNDN_00400	489	343.786	38	4.00089
POCFKNDN_00401	360	215.374	38	6.38632
POCFKNDN_00402	195	63.3467	61	34.8552
POCFKNDN_00403	2376	2230.75	135	2.1905
POCFKNDN_00404	1194	1048.75	51	1.76019
POCFKNDN_00405	1014	868.75	50	2.08323
POCFKNDN_00406	462	316.819	8	0.913985
POCFKNDN_00407	1398	1252.75	15	0.433399
POCFKNDN_00408	447	301.85	81	9.71302
POCFKNDN_00409	1995	1849.75	499	9.76447
POCFKNDN_00410	564	418.75	547	47.2818
POCFKNDN_00411	555	409.75	666	58.8324
POCFKNDN_00412	213	77.4001	1512	707.085
POCFKNDN_00413	1626	1480.75	776	18.9689
POCFKNDN_00414	807	661.75	1084	59.2921
POCFKNDN_00415	915	769.75	70	3.29162
POCFKNDN_00416	489	343.786	106	11.1604
POCFKNDN_00417	573	427.75	197	16.6701
POCFKNDN_00418	1512	1366.75	12	0.3178
POCFKNDN_00419	2178	2032.75	0	0
POCFKNDN_00420	87	9.76	201.856	748.606
POCFKNDN_00421	228	90.0088	302	121.446
POCFKNDN_00422	1113	967.75	472	17.6539
POCFKNDN_00423	1923	1777.75	366	7.45198
POCFKNDN_00424	1899	1753.75	19114	394.498
POCFKNDN_00425	1134	988.75	2709	99.1708
POCFKNDN_00426	996	850.75	2329	99.0897
POCFKNDN_00427	507	361.786	5007	500.941
POCFKNDN_00428	1026	880.75	5057	207.827
POCFKNDN_00429	1635	1489.75	1058	25.7059
POCFKNDN_00430	1110	964.75	1282	48.0988
POCFKNDN_00431	708	562.75	203	13.0569
POCFKNDN_00432	765	619.75	676	39.4813
POCFKNDN_00433	1275	1129.75	225	7.20877
POCFKNDN_00434	747	601.75	834	50.1662
POCFKNDN_00435	2679	2533.75	911	13.0141
POCFKNDN_00436	1545	1399.75	181	4.68047
POCFKNDN_00437	1275	1129.75	140	4.48546
POCFKNDN_00438	1923	1777.75	451	9.18263
POCFKNDN_00439	945	799.75	71	3.2134
POCFKNDN_00440	684	538.75	242	16.2588
POCFKNDN_00441	396	251.098	0	0
POCFKNDN_00442	252	111.399	0	0
POCFKNDN_00443	480	334.786	0	0
POCFKNDN_00444	945	799.75	0	0
POCFKNDN_00445	747	601.75	0	0
POCFKNDN_00446	591	445.75	0	0
POCFKNDN_00447	1269	1123.75	0	0
POCFKNDN_00448	444	298.85	28	3.39129
POCFKNDN_00449	405	260.047	47	6.54195
POCFKNDN_00450	678	532.75	99	6.72625
POCFKNDN_00451	450	304.85	228	27.0713
POCFKNDN_00452	1065	919.75	215	8.46116
POCFKNDN_00453	1080	934.75	361	13.9789
POCFKNDN_00454	576	430.75	147	12.3525
POCFKNDN_00455	567	421.75	48	4.11953
POCFKNDN_00456	864	718.75	104	5.23741
POCFKNDN_00457	585	439.75	4463	367.352
POCFKNDN_00458	780	634.75	166	9.466
POCFKNDN_00459	1377	1231.75	35	1.02851
POCFKNDN_00460	663	517.75	60	4.19462
POCFKNDN_00461	669	523.75	126	8.70778
POCFKNDN_00462	561	415.75	65	5.65903
POCFKNDN_00463	624	478.75	303	22.9084
POCFKNDN_00464	471	325.819	112	12.4423
POCFKNDN_00465	384	239.171	276	41.7697
POCFKNDN_00466	675	529.75	253	17.2866
POCFKNDN_00467	777	631.75	227	13.0059
POCFKNDN_00468	654	508.75	67	4.76685
POCFKNDN_00469	969	823.75	542	23.8158
POCFKNDN_00470	342	197.644	314	57.5053
POCFKNDN_00471	2862	2716.75	580.84	7.7387
POCFKNDN_00472	519	373.75	225	21.7903
POCFKNDN_00473	753	607.75	65	3.87124
POCFKNDN_00474	903	757.75	254	12.133
POCFKNDN_00475	867	721.75	487	24.4232
POCFKNDN_00476	1629	1483.75	3778	92.1642
POCFKNDN_00477	981	835.75	1383.32	59.911
POCFKNDN_00478	1152	1006.75	59.1981	2.12837
POCFKNDN_00479	4680	4534.75	15972.1	127.488
POCFKNDN_00480	1443	1297.75	2212.47	61.7088
POCFKNDN_00481	1353	1207.75	1161	34.795
POCFKNDN_00482	1830	1684.75	1623	34.8694
POCFKNDN_00483	567	421.75	610	52.3523
POCFKNDN_00484	1242	1096.75	1090	35.9733
POCFKNDN_00485	993	847.75	271	11.5708
POCFKNDN_00486	1713	1567.75	201	4.64067
POCFKNDN_00487	1095	949.75	67	2.55345
POCFKNDN_00488	1026	880.75	124	5.09601
POCFKNDN_00489	1149	1003.75	496	17.8862
POCFKNDN_00490	816	670.75	480	25.9025
POCFKNDN_00491	2853	2707.75	974	13.02
POCFKNDN_00492	954	808.75	795	35.5807
POCFKNDN_00493	1329	1183.75	1135	34.7054
POCFKNDN_00494	1365	1219.75	1309	38.8445
POCFKNDN_00495	1728	1582.75	1902	43.497
POCFKNDN_00496	1740	1594.75	2094	47.5275
POCFKNDN_00497	642	496.75	1466	106.821
POCFKNDN_00498	1332	1186.75	326	9.94305
POCFKNDN_00499	1980	1834.75	334	6.58917
POCFKNDN_00500	426	280.967	920	118.521
POCFKNDN_00501	1359	1213.75	135	4.02592
POCFKNDN_00502	4089	3943.75	267220	2452.57
POCFKNDN_00503	3699	3553.75	221588	2256.94
POCFKNDN_00504	2289	2143.75	4370	73.785
POCFKNDN_00505	1713	1567.75	9538	220.212
POCFKNDN_00506	1239	1093.75	1884	62.3482
POCFKNDN_00507	861	715.75	905	45.7666
POCFKNDN_00508	756	610.75	774	45.871
POCFKNDN_00509	720	574.75	402	25.3168
POCFKNDN_00510	342	197.644	94	17.215
POCFKNDN_00511	1794	1648.75	596	13.0844
POCFKNDN_00512	417	271.967	30	3.9927
POCFKNDN_00513	591	445.75	404	32.8058
POCFKNDN_00514	1008	862.75	261	10.9501
POCFKNDN_00515	723	577.75	6	0.3759
POCFKNDN_00516	777	631.75	27	1.54696
POCFKNDN_00517	183	54.3046	43	28.6611
POCFKNDN_00518	306	162.512	2164	481.985
POCFKNDN_00519	639	493.75	920	67.4438
POCFKNDN_00520	1803	1657.75	2618	57.1626
POCFKNDN_00521	396	251.098	226	32.5781
POCFKNDN_00522	444	298.85	390	47.2359
POCFKNDN_00523	450	304.85	260	30.8708
POCFKNDN_00524	186	56.5288	13	8.32404
POCFKNDN_00525	765	619.75	167	9.75351
POCFKNDN_00526	834	688.75	1023	53.762
POCFKNDN_00527	261	119.656	1988	601.372
POCFKNDN_00528	861	715.75	3099	156.719
POCFKNDN_00529	612	466.75	723	56.068
POCFKNDN_00530	699	553.75	544	35.5587
POCFKNDN_00531	198	65.6427	1321	728.412
POCFKNDN_00532	855	709.75	7971	406.507
POCFKNDN_00533	384	239.171	1615	244.413
POCFKNDN_00534	120	18.3697	698	1375.35
POCFKNDN_00535	1614	1468.75	9476.63	233.543
POCFKNDN_00536	1167	1021.75	9818	347.808
POCFKNDN_00537	504	358.786	4444	448.331
POCFKNDN_00538	252	111.399	1021	331.747
POCFKNDN_00539	966	820.75	1204	53.0978
POCFKNDN_00540	1419	1273.75	1298	36.8852
POCFKNDN_00541	612	466.75	298	23.1096
POCFKNDN_00542	540	394.75	171	15.6796
POCFKNDN_00543	495	349.786	2082	215.446
POCFKNDN_00544	444	298.85	1329	160.965
POCFKNDN_00545	1365	1219.75	2771	82.2293
POCFKNDN_00546	891	745.75	1260	61.1559
POCFKNDN_00547	957	811.75	252	11.2367
POCFKNDN_00548	936	790.75	592	27.0984
POCFKNDN_00549	471	325.819	828	91.9845
POCFKNDN_00550	618	472.75	1622	124.188
POCFKNDN_00551	807	661.75	286	15.6435
POCFKNDN_00552	477	331.786	85	9.27303
POCFKNDN_00553	987	841.75	66	2.83806
POCFKNDN_00554	516	370.75	123	12.0084
POCFKNDN_00555	540	394.75	56.4605	5.17706
POCFKNDN_00556	237	97.8989	72	26.6205
POCFKNDN_00557	474	328.819	556	61.2038
POCFKNDN_00558	396	251.098	502	72.3638
POCFKNDN_00559	1989	1843.75	511	10.0318
POCFKNDN_00560	783	637.75	280	15.8916
POCFKNDN_00561	1314	1168.75	943	29.2046
POCFKNDN_00562	372	227.264	1834	292.099
POCFKNDN_00563	846	700.75	262	13.5332
POCFKNDN_00564	813	667.75	429	23.2544
POCFKNDN_00565	2931	2785.75	1986	25.8047
POCFKNDN_00566	483	337.786	65	6.96518
POCFKNDN_00567	426	280.967	429	55.2667
POCFKNDN_00568	1497	1351.75	1868	50.0198
