orf_id,ortho_cluster_id,ortho_cluster_members,i_val,mmseqs_cluster_representative,mmseqs_cluster_id
GCF_000204075_00336,48,GCF_000204075_00336,4.0,GCF_000204075_00336,42
GCF_000204075_00337,51,GCF_000204075_00337,4.0,GCF_000204075_00337,43
GCF_000204075_00338,54,GCF_000204075_00338,4.0,GCF_000204075_00338,44
GCF_000204075_00339,57,GCF_000204075_00339,4.0,GCF_000204075_00339,45
GCF_000204075_00340,60,GCF_000204075_00340,4.0,GCF_000204075_00340,46
GCF_000204075_00341,63,GCF_000204075_00341,4.0,GCF_000204075_00341,47
GCF_000204075_00342,65,GCF_000204075_00342,4.0,GCF_000204075_00342,48
GCF_000204075_00343,67,GCF_000204075_00343,4.0,GCF_000204075_00343,49
GCF_000204075_00344,71,GCF_000204075_00344,4.0,GCF_000204075_00344,50
GCF_000204075_00345,75,GCF_000204075_00345,4.0,GCF_000204075_00345,51
GCF_000204075_00346,78,GCF_000204075_00346,4.0,GCF_000204075_00346,52
GCF_000204075_01836,81,GCF_000204075_01836,4.0,GCF_000204075_01836,53
GCF_000204075_01837,85,GCF_000204075_01837,4.0,GCF_000204075_01837,54
GCF_000204075_01838,87,GCF_000204075_01838,4.0,GCF_000204075_01838,55
GCF_000204075_01839,89,GCF_000204075_01839,4.0,GCF_000204075_01839,56
GCF_000204075_01840,91,GCF_000204075_01840,4.0,GCF_000204075_01840,57
GCF_000204075_01841,11,GCF_000204075_01841,4.0,GCF_000204075_01841,58
GCF_000204075_01842,6,GCF_000204075_01842,4.0,GCF_000204075_01842,59
GCF_000204075_01843,7,GCF_000204075_01843,4.0,GCF_000204075_01843,60
GCF_000204075_01844,97,GCF_000204075_01844,4.0,GCF_000204075_01844,61
GCF_000204075_01845,100,GCF_000204075_01845,4.0,GCF_000204075_01845,62
GCF_000204075_01846,25,GCF_000204075_01846,4.0,GCF_000204075_01846,63
GCF_000204075_01847,16,GCF_000204075_01847,4.0,GCF_000204075_01847,64
GCF_000332235_02681,20,GCF_000332235_02681,4.0,GCF_000332235_02681,65
GCF_000332235_02682,23,GCF_000332235_02682,4.0,GCF_000332235_02682,66
GCF_000332235_02683,29,GCF_000332235_02683,4.0,GCF_000332235_02683,67
GCF_000332235_02684,11,GCF_000332235_02684,4.0,GCF_000332235_02684,68
GCF_000332235_02685,6,GCF_000332235_02685,4.0,GCF_000332235_02685,69
GCF_000332235_02686,7,GCF_000332235_02686,4.0,GCF_000332235_02686,70
GCF_000332235_02687,40,GCF_000332235_02687,4.0,GCF_000332235_02687,71
GCF_000332235_02688,43,GCF_000332235_02688,4.0,GCF_000332235_02688,72
GCF_000332235_02689,46,GCF_000332235_02689,4.0,GCF_000332235_02689,73
GCF_000332235_02690,49,GCF_000332235_02690,4.0,GCF_000332235_02690,74
GCF_000340785_01343,52,GCF_000340785_01343,4.0,GCF_000340785_01343,75
GCF_000340785_01344,55,GCF_000340785_01344,4.0,GCF_000340785_01344,76
GCF_000340785_01345,58,GCF_000340785_01345,4.0,GCF_000340785_01345,77
GCF_000340785_01346,61,GCF_000340785_01346,4.0,GCF_000340785_01346,78
GCF_000340785_01347,6,GCF_000340785_01347,4.0,GCF_000340785_01347,79
GCF_000340785_01348,7,GCF_000340785_01348,4.0,GCF_000340785_01348,80
GCF_000340785_01349,68,GCF_000340785_01349,4.0,GCF_000340785_01349,81
GCF_000340785_01350,72,GCF_000340785_01350,4.0,GCF_000340785_01350,82
GCF_000340785_01351,76,GCF_000340785_01351,4.0,GCF_000340785_01351,83
GCF_000340785_01352,79,GCF_000340785_01352,4.0,GCF_000340785_01352,84
GCF_001046855_01617,82,GCF_001046855_01617,4.0,GCF_001046855_01617,85
GCF_001046855_01618,4,GCF_001046855_01618,4.0,GCF_001046855_01618,86
GCF_001046855_01619,0,GCF_001046855_01619,4.0,GCF_001046855_01619,87
GCF_001046855_01620,1,GCF_001046855_01620,4.0,GCF_001046855_01620,88
GCF_001046855_01621,92,GCF_001046855_01621,4.0,GCF_001046855_01621,89
GCF_001046855_01622,5,GCF_001046855_01622,4.0,GCF_001046855_01622,90
GCF_001046855_01623,2,GCF_001046855_01623,4.0,GCF_001046855_01623,91
GCF_001046855_01624,3,GCF_001046855_01624,4.0,GCF_001046855_01624,92
GCF_001046875_00601,98,GCF_001046875_00601,4.0,GCF_001046875_00601,93
GCF_001046875_00602,101,GCF_001046875_00602,4.0,GCF_001046875_00602,94
GCF_001046875_00603,26,GCF_001046875_00603,4.0,GCF_001046875_00603,95
GCF_001046875_00604,0,GCF_001046875_00604,4.0,GCF_001046875_00604,96
GCF_001046875_00605,1,GCF_001046875_00605,4.0,GCF_001046875_00605,97
GCF_001046875_00606,10,GCF_001046875_00606,4.0,GCF_001046875_00606,98
GCF_001046875_00607,2,GCF_001046875_00607,4.0,GCF_001046875_00607,99
GCF_001046875_00608,3,GCF_001046875_00608,4.0,GCF_001046875_00608,100
GCF_001046875_00609,12,GCF_001046875_00609,4.0,GCF_001046875_00609,101
GCF_001046875_00610,8,GCF_001046875_00610,4.0,GCF_001046875_00610,102
GCF_001046875_00611,9,GCF_001046875_00611,4.0,GCF_001046875_00611,103
GCF_001050535_01437,9,GCF_001050535_01437,4.0,GCF_001050535_01437,104
GCF_001050535_01438,8,GCF_001050535_01438,4.0,GCF_001050535_01438,105
GCF_001050535_01439,12,GCF_001050535_01439,4.0,GCF_001050535_01439,106
GCF_001050535_01440,3,GCF_001050535_01440,4.0,GCF_001050535_01440,107
GCF_001050535_01441,2,GCF_001050535_01441,4.0,GCF_001050535_01441,108
GCF_001050535_01442,10,GCF_001050535_01442,4.0,GCF_001050535_01442,109
GCF_001050535_01443,1,GCF_001050535_01443,4.0,GCF_001050535_01443,110
GCF_001050535_01444,0,GCF_001050535_01444,4.0,GCF_001050535_01444,111
GCF_001050535_01445,4,GCF_001050535_01445,4.0,GCF_001050535_01445,112
GCF_001050535_01446,69,GCF_001050535_01446,4.0,GCF_001050535_01446,113
GCF_001050535_01447,73,GCF_001050535_01447,4.0,GCF_001050535_01447,114
GCF_009184895_02169,9,GCF_009184895_02169,4.0,GCF_009184895_02169,115
GCF_009184895_02170,8,GCF_009184895_02170,4.0,GCF_009184895_02170,116
GCF_009184895_02171,83,GCF_009184895_02171,4.0,GCF_009184895_02171,117
GCF_009184895_02172,3,GCF_009184895_02172,4.0,GCF_009184895_02172,118
GCF_009184895_02173,2,GCF_009184895_02173,4.0,GCF_009184895_02173,119
GCF_009184895_02174,5,GCF_009184895_02174,4.0,GCF_009184895_02174,120
GCF_009184895_02175,1,GCF_009184895_02175,4.0,GCF_009184895_02175,121
GCF_009184895_02176,0,GCF_009184895_02176,4.0,GCF_009184895_02176,122
GCF_009184895_02177,4,GCF_009184895_02177,4.0,GCF_009184895_02177,123
GCF_009184895_02178,13,GCF_009184895_02178,4.0,GCF_009184895_02178,124
GCF_009707485_00853,13,GCF_009707485_00853,4.0,GCF_009707485_00853,125
GCF_009707485_00854,4,GCF_009707485_00854,4.0,GCF_009707485_00854,126
GCF_009707485_00855,0,GCF_009707485_00855,4.0,GCF_009707485_00855,127
GCF_009707485_00856,17,GCF_009707485_00856,4.0,GCF_009707485_00856,128
GCF_009707485_00857,1,GCF_009707485_00857,4.0,GCF_009707485_00857,129
GCF_009707485_00858,5,GCF_009707485_00858,4.0,GCF_009707485_00858,130
GCF_009707485_00859,30,GCF_009707485_00859,4.0,GCF_009707485_00859,131
GCF_009707485_00860,33,GCF_009707485_00860,4.0,GCF_009707485_00860,132
GCF_009707485_00862,2,GCF_009707485_00862,4.0,GCF_009707485_00862,133
GCF_009707485_00863,3,GCF_009707485_00863,4.0,GCF_009707485_00863,134
