region_id,assembly_id,contig_id,locus_tag,cds_start,cds_end,strand,global_strand,pseudo_check,pident,qcovs,evalue,dbscan_label,mean_dissimilarity,representative_relative_dissimilarity,ortho_cluster_id,genus,species,refseq_product,refseq_gene,new_pos,is_seed,order,cds_start1,cds_end1,norm_start,norm_end,max_val
GCF_009184895_02175,GCF_009184895,GCF_009184895_32,GCF_009184895_02169,70806,71265,-1,1,g,36.397,100,6.3500000000000005e-47,0.0,0.525,0.0,9.0,tetrasphaera,sp.,NfeD family protein,,-6.0,0,1,70806,71265,-6048,-5589,846
GCF_009184895_02175,GCF_009184895,GCF_009184895_32,GCF_009184895_02170,71436,72219,-1,1,g,36.397,100,6.3500000000000005e-47,0.0,0.525,0.0,8.0,tetrasphaera,sp.,ABC transporter ATP-binding protein,,-5.0,0,1,71436,72219,-5418,-4635,846
GCF_009184895_02175,GCF_009184895,GCF_009184895_32,GCF_009184895_02171,72272,73022,1,1,g,36.397,100,6.3500000000000005e-47,0.0,0.525,0.0,83.0,tetrasphaera,sp.,hypothetical protein,,-4.0,0,1,72272,73022,-4582,-3832,846
GCF_009184895_02175,GCF_009184895,GCF_009184895_32,GCF_009184895_02172,72985,74191,-1,1,g,36.397,100,6.3500000000000005e-47,0.0,0.525,0.0,3.0,tetrasphaera,sp.,glycogen synthase,glgA,-3.0,0,1,72985,74191,-3869,-2663,846
GCF_009184895_02175,GCF_009184895,GCF_009184895_32,GCF_009184895_02173,74257,75508,1,1,g,36.397,100,6.3500000000000005e-47,0.0,0.525,0.0,2.0,tetrasphaera,sp.,glucose-1-phosphate adenylyltransferase,glgC,-2.0,0,1,74257,75508,-2597,-1346,846
GCF_009184895_02175,GCF_009184895,GCF_009184895_32,GCF_009184895_02174,75604,76858,1,1,g,36.397,100,6.3500000000000005e-47,0.0,0.525,0.0,5.0,tetrasphaera,sp.,phosphoserine phosphatase SerB,serB,-1.0,0,1,75604,76858,-1250,4,846
GCF_009184895_02175,GCF_009184895,GCF_009184895_32,GCF_009184895_02175,76854,77700,1,1,g,36.397,100,6.3500000000000005e-47,0.0,0.525,0.0,1.0,tetrasphaera,sp.,cyanophycinase,,0.0,1,1,76854,77700,0,846,846
GCF_009184895_02175,GCF_009184895,GCF_009184895_32,GCF_009184895_02176,77759,80570,1,1,g,36.397,100,6.3500000000000005e-47,0.0,0.525,0.0,0.0,tetrasphaera,sp.,cyanophycin synthetase,cphA,1.0,0,1,77759,80570,905,3716,846
GCF_009184895_02175,GCF_009184895,GCF_009184895_32,GCF_009184895_02177,80610,82851,-1,1,g,36.397,100,6.3500000000000005e-47,0.0,0.525,0.0,4.0,tetrasphaera,sp.,tetratricopeptide repeat protein,,2.0,0,1,80610,82851,3756,5997,846
GCF_009184895_02175,GCF_009184895,GCF_009184895_32,GCF_009184895_02178,82856,83642,-1,1,g,36.397,100,6.3500000000000005e-47,0.0,0.525,0.0,13.0,tetrasphaera,sp.,enoyl-ACP reductase FabI,fabI,3.0,0,1,82856,83642,6002,6788,846
